 ,DA,SA,LL,CBT,TV,VEC
1e-05,2300,21002,814664,2200,13701,380529
2e-05,1900,118110,691454,2501,29702,7200
3e-05,1200,408432,855268,2400,12901,26802
4e-05,1200,291023,549643,1601,15901,15801
5e-05,1200,355028,574045,1500,9201,22902
6e-05,3001,419733,793462,1600,4201,12701
7e-05,2100,263621,666253,1800,8200,21602
8e-05,2501,442734,1073384,2300,19202,31302
9e-05,2700,251319,1076184,2700,28502,17101
0.0001,2400,481338,807264,2000,24702,36803
0.0002,2001,613148,1074584,2100,16402,41303
0.0003,2100,230719,782261,2501,328725,20002
0.0004,2100,265321,1071484,2600,43203,14101
0.0005,3301,389830,713556,1700,5600,38403
0.0006,2100,92808,794362,2101,36302,4001
0.0007,1800,334927,632550,1700,14601,19101
0.0008,2801,210816,1143390,3300,32702,17202
0.0009,3000,56704,800763,2101,31102,6000
0.001,2300,854167,778661,2301,41103,7500
0.002,1900,187115,1005979,1900,33503,10801
0.003,2400,145011,957476,1800,31502,9701
0.004,3500,149812,829265,3001,21601,8901
0.005,2900,772561,726757,1700,11301,44003
0.006,2700,128110,881769,2500,36903,7500
0.007,2900,8901,762960,2200,7801,2100
0.008,2901,70305,665152,2100,41303,7201
0.009,3500,348327,869169,3000,24502,32302
0.01,3300,205616,731058,2100,24602,14701
0.02,3400,525141,779361,2100,21002,14201
0.03,1700,354328,574145,1500,24902,9301
0.04,3000,250820,730358,2200,21602,18601
0.05,3001,18301,799463,1900,18001,4001
0.06,2100,608448,8865898,2400,11301,26802
0.07,3201,244119,1616227,1700,27702,20202
0.08,2600,206317,825065,2800,49304,16001
0.09,2800,395431,831466,2500,13401,25702
0.1,2401,11101,913572,2500,8500,2001
0.2,3100,54304,1233197,2401,35302,5901
0.3,3700,103609,1354807,3000,49304,11501
0.4,2500,262421,1107087,2300,11701,26202
0.5,2301,411432,1683432,2100,12401,49004
0.6,2900,140711,7334678,2200,28902,12501
0.7,2200,507340,6725029,3601,11501,41503
0.8,3000,612850,1724438,2701,9200,47204
0.9,2600,268222,5942272,2500,30503,21401
1,2700,364529,4528058,2401,41803,31802
