 ,DA,SA,LL,CBT,TV,VEC
1e-05,10030,429024,366929,900,8020,169635
2e-05,724,219907,330703,1836,6674,13547
3e-05,953,24219,341407,679,13445,2537
4e-05,515,185949,330250,940,7545,11270
5e-05,1678,129834,330251,1020,8278,7626
6e-05,880,62774,336909,1129,9936,3669
7e-05,712,15563,336180,1184,5689,1244
8e-05,745,235768,334400,706,1262,15893
9e-05,868,154306,359873,1030,9161,10260
0.0001,1160,39915,375743,905,13001,3389
0.0002,1012,58923,330378,664,9455,3702
0.0003,1841,137240,333062,582,5846,8253
0.0004,921,114907,330091,909,8482,6371
0.0005,1084,165872,333040,558,7918,10864
0.0006,871,160318,329897,535,2060,8712
0.0007,1750,97166,336974,1621,13263,7468
0.0008,1783,217576,339009,787,5072,15583
0.0009,1222,16634,330554,1626,8022,1562
0.001,1454,46588,329905,513,11247,3075
0.002,1981,6926,349931,893,6963,2149
0.003,785,230220,329888,662,2760,13762
0.004,1015,130207,330131,655,6280,7743
0.005,1290,140607,330551,907,3031,7845
0.006,908,6166,330398,892,2780,659
0.007,712,71035,330067,557,11177,3988
0.008,853,187593,330376,435,4503,10685
0.009,1150,198538,330504,668,2505,11133
0.01,1147,183793,331000,499,5885,10560
0.02,1408,26163,336291,675,9395,2023
0.03,840,155799,407153,633,13670,8900
0.04,1238,198312,340647,1304,2326,11833
0.05,1085,210889,339021,628,7755,11760
0.06,1034,99321,350653,586,9165,5554
0.07,1564,92203,364516,746,9290,8282
0.08,1108,165029,375985,728,11601,11561
0.09,782,143479,385635,640,2215,8091
0.1,861,13504,362821,961,5207,1140
0.2,826,44274,446880,954,10700,2587
0.3,1028,75705,532112,1048,9588,6019
0.4,1189,9469,587330,1360,3845,922
0.5,1092,131463,657778,1158,5920,7358
0.6,987,99609,739926,823,9489,5235
0.7,985,30224,805572,619,10189,1863
0.8,1065,178025,877046,1235,3961,10524
0.9,1136,186752,1031213,921,6808,12216
1,1164,237450,1065755,717,1962,25722
