 ,DA,SA,LL,CBT,TV,VEC
1e-05,325,231,244,865,487,92
2e-05,237,63,317,697,415,64
3e-05,263,73,452,952,349,68
4e-05,183,143,584,996,434,82
5e-05,270,66,509,978,304,41
6e-05,665,73,758,852,463,74
7e-05,250,108,328,473,253,50
8e-05,219,62,206,605,307,68
9e-05,175,130,246,455,357,131
0.0001,242,73,397,1143,251,85
0.0002,447,38,461,865,395,80
0.0003,581,36,279,598,271,80
0.0004,681,37,379,831,260,70
0.0005,361,102,439,428,258,98
0.0006,321,31,389,339,400,48
0.0007,357,31,264,491,263,49
0.0008,302,52,410,480,233,55
0.0009,295,28,438,397,331,308
0.001,504,33,454,406,285,80
0.002,588,105,355,424,1039,53
0.003,546,45,268,434,339,49
0.004,611,39,279,576,254,47
0.005,468,41,441,401,285,52
0.006,536,36,404,635,458,62
0.007,538,39,279,363,259,85
0.008,630,59,395,937,306,45
0.009,445,158,498,787,248,123
0.01,520,53,401,412,280,76
0.02,556,43,376,666,351,48
0.03,655,48,257,777,344,53
0.04,883,140,240,720,386,50
0.05,742,41,379,517,323,50
0.06,641,58,351,427,262,56
0.07,1027,123,413,817,411,32
0.08,1080,103,426,976,386,66
0.09,1025,63,450,576,297,50
0.1,818,153,482,464,300,72
0.2,678,73,381,557,274,51
0.3,1320,170,432,525,615,61
0.4,621,84,376,601,368,48
0.5,885,56,1182,771,498,69
0.6,741,57,359,432,348,77
0.7,929,50,923,706,316,52
0.8,832,66,199,431,307,51
0.9,686,68,592,440,350,63
1,783,59,732,521,307,68
