 ,DA,SA,LL,CBT,TV,VEC
1e-05,2325,673,717,15292,2163,110
2e-05,532,393,1001,19890,1733,127
3e-05,533,423,576,17123,1812,129
4e-05,620,400,740,25706,1974,119
5e-05,584,444,739,24236,1992,114
6e-05,551,391,567,19730,1825,130
7e-05,433,368,766,12997,1602,80
8e-05,347,293,689,13752,1491,82
9e-05,398,321,605,9172,1537,82
0.0001,403,341,584,8657,1609,82
0.0002,431,327,711,7661,1506,76
0.0003,451,313,682,9802,1510,82
0.0004,602,432,734,13945,1831,116
0.0005,403,276,469,13343,1467,82
0.0006,437,285,603,14398,1471,81
0.0007,690,398,758,19757,1860,121
0.0008,604,433,730,16312,1830,123
0.0009,547,373,553,16697,1733,112
0.001,586,375,597,24889,1964,130
0.002,428,309,481,8536,1586,82
0.003,387,295,452,6105,1461,79
0.004,433,280,541,7626,1442,103
0.005,634,376,823,16790,1757,95
0.006,421,330,642,10049,1616,85
0.007,749,420,861,22958,1958,99
0.008,409,278,548,8290,1427,77
0.009,609,369,488,14028,1822,127
0.01,459,313,576,10158,1461,82
0.02,468,283,676,16026,1447,77
0.03,409,261,361,7641,1343,74
0.04,467,263,534,13289,1468,101
0.05,555,292,675,10171,1415,81
0.06,648,479,831,13840,1642,96
0.07,411,258,514,11402,1411,76
0.08,546,317,743,10313,1521,80
0.09,792,369,715,15013,1790,79
0.1,438,243,562,11442,1304,67
0.2,425,226,601,10850,1196,66
0.3,394,246,461,5751,1248,66
0.4,474,235,551,10094,1217,64
0.5,467,250,602,8431,1453,66
0.6,429,260,503,11781,1259,65
0.7,573,285,654,8986,1561,118
0.8,437,257,785,8336,1322,72
0.9,498,272,689,9515,1283,73
1,413,261,770,5759,1212,65
