 ,DA,SA,LL,CBT,TV,VEC
1e-05,3300,445460,549426,26658105,2031232,526297
2e-05,1514,340266,570368,26297296,2026997,499763
3e-05,2192,353684,530927,25622095,2116324,515643
4e-05,2715,354515,538860,28072109,2186601,520397
5e-05,4591,352134,542427,27080464,2003747,471664
6e-05,3113,340840,546779,24859872,2091148,523688
7e-05,3586,345041,504872,26031362,2113897,525484
8e-05,4607,343674,534927,27909164,2019079,526656
9e-05,4123,340218,523052,26895140,2102786,526414
0.0001,3222,347418,512279,25392683,2123680,516082
0.0002,6011,339358,513627,26574107,2125754,524881
0.0003,6517,339644,506974,25772735,2088580,524682
0.0004,7906,340499,521334,27973960,2144481,515727
0.0005,7178,339143,521107,24871997,2084357,525994
0.0006,7636,340787,530121,24620578,2127448,514984
0.0007,8347,348537,535103,28835205,2078298,549969
0.0008,6509,340828,582269,23957840,2088228,525769
0.0009,8460,341872,535261,29001962,2103781,515070
0.001,7780,340156,502130,25507430,2163469,524965
0.002,9311,347639,516663,26079021,2006834,539601
0.003,11950,345768,512371,27089433,2096767,514516
0.004,14831,340218,504769,24209238,2056943,504280
0.005,15775,340074,509405,25544315,2095894,531416
0.006,21942,340920,505700,26462490,2105568,524973
0.007,18648,375071,525407,24133517,2076164,522299
0.008,21273,340833,522827,27334074,2032799,495241
0.009,24755,340823,512863,23866845,2006287,502389
0.01,28488,341535,541061,23279521,2090518,544290
0.02,41725,345630,517549,26242055,2137622,495416
0.03,42555,340772,529512,25835136,2081594,523630
0.04,54354,340566,533550,25882028,2150199,524026
0.05,64165,340447,551731,25576321,1997548,495525
0.06,76529,371586,546455,28066258,2120820,524316
0.07,61840,339942,583514,25358986,2117023,513761
0.08,69598,339681,572176,24144701,2090588,522383
0.09,59390,340559,635858,24502813,2089074,523729
0.1,94222,344987,600944,25913986,2099849,525753
0.2,86748,340224,743091,25746336,2091803,505760
0.3,91093,342713,901097,26189392,2110363,519673
0.4,100052,341050,1028868,23011618,2088860,521280
0.5,103604,341748,1148666,25635977,2098401,558228
0.6,98808,340618,1310056,27240939,1995856,500510
0.7,105492,342678,1376691,28389068,2161316,519488
0.8,98123,340737,1534759,28265302,2145615,501028
0.9,90269,345309,1597181,24189138,1919589,505565
1,93110,345593,1786685,24039939,2111330,525491
