 ,DA,SA,LL,TV,VEC,CBT
1e-05,780,26465,531275,8570,25620,1710,
2e-05,555,19860,407187,9475,18985,1870,
3e-05,540,16220,391407,9550,15570,1595,
4e-05,535,18930,379667,10945,17665,1630,
5e-05,560,17935,397682,12595,16360,1730,
6e-05,615,15555,384817,11695,15380,1510,
7e-05,850,14290,422417,14530,12960,1705,
8e-05,820,16160,430303,14400,14655,1555,
9e-05,840,15970,395187,12930,15055,1840,
0.0001,975,16485,412602,12715,15030,1740,
0.0002,920,19165,403617,13075,17975,1745,
0.0003,1205,23095,431033,14370,21835,1970,
0.0004,1200,19015,440788,13745,17555,2120,
0.0005,1420,15270,432313,11195,13255,2280,
0.0006,1210,16595,443273,13275,15535,1815,
0.0007,1675,23300,476614,15375,22135,1995,
0.0008,1225,17170,459048,11355,15775,1915,
0.0009,1405,22410,464203,15365,21665,1955,
0.001,1385,13925,431023,12510,12950,1940,
0.002,1555,20885,456658,13615,19830,1960,
0.003,1640,20130,433463,12550,17980,1885,
0.004,1685,16660,455233,13225,15455,1880,
0.005,1605,17565,481624,12755,16555,1770,
0.006,2140,20295,484404,12590,19535,1975,
0.007,1790,19285,449763,12325,18425,1830,
0.008,2055,22890,469233,14210,21570,1855,
0.009,1950,21770,495984,14060,21530,1720,
0.01,1935,19390,450243,13800,18945,1990,
0.02,2105,19340,430973,14890,18360,1945,
0.03,2780,19115,506549,11525,18265,1910,
0.04,2335,20965,485194,13600,17985,1710,
0.05,2000,17955,493374,16165,17935,1905,
0.06,1985,19895,477268,16225,19345,2040,
0.07,2165,16765,485788,13770,14815,1875,
0.08,1850,14400,515474,12725,14665,1570,
0.09,2425,19960,488224,13600,18910,1990,
0.1,2170,14780,557785,13125,14040,1820,
0.2,2180,19740,644332,13960,19075,1910,
0.3,1615,20335,653372,13160,18680,1930,
0.4,1745,22145,660282,14130,21000,1710,
0.5,1855,19385,897402,14910,18315,1940,
0.6,1830,21380,946217,13325,20055,1820,
0.7,1835,17920,870471,14325,17635,1825,
0.8,2255,19530,1139296,11600,19495,2165,
0.9,1730,17620,927502,13230,17295,1885,
1,2095,18365,1073935,11735,18095,1905,
