 ,DA,SA,LL,TV,VEC,CBT
1e-05,1000,5600,585111,12000,6800,2400
2e-05,500,16200,364007,18201,16400,2000
3e-05,400,3200,354407,10300,5300,2700
4e-05,500,36001,353406,1500,34401,1000
5e-05,500,28000,357107,8300,26001,1200
6e-05,500,14001,353606,14201,13400,1400
7e-05,1200,24301,620411,18801,23700,2000
8e-05,1900,8200,607611,20301,9000,2500
9e-05,1200,22501,363606,16801,20900,2900
0.0001,1400,15400,359307,12300,13801,2200
0.0002,800,7200,406308,19400,4700,2200
0.0003,1000,23401,358307,5900,21000,2300
0.0004,1600,31101,363407,21500,31101,1900
0.0005,4200,8100,644512,18001,7900,2500
0.0006,800,13601,360306,9301,12500,2600
0.0007,1400,10401,517409,17401,8900,2700
0.0008,900,4000,355006,9600,4300,2001
0.0009,1400,31701,367207,14100,26500,1700
0.001,900,1700,361907,7400,2100,1600
0.002,1800,26200,601711,18801,24900,2400
0.003,2000,800,594911,2500,1900,3000
0.004,1700,1300,382507,5700,1600,1800
0.005,2300,19200,374207,10700,19601,2200
0.006,2200,36500,618312,15600,37301,2000
0.007,2000,17600,368907,17200,13101,2200
0.008,2300,26800,630912,26801,25200,1600
0.009,2900,26701,635212,19200,27501,2500
0.01,2100,16300,628212,19400,17801,3100
0.02,1700,24900,452911,14200,27401,1500
0.03,1300,6601,491509,21000,6701,1300
0.04,2200,22600,367507,21201,20400,1500
0.05,2900,32801,715114,27000,32201,2300
0.06,2100,41801,567011,5200,42801,1100
0.07,1500,23500,379307,17101,13100,1200
0.08,3300,20600,699414,25100,16901,2100
0.09,1500,3500,390608,13800,5000,1600
0.1,1800,8900,395908,14200,8800,1500
0.2,1800,23701,469409,4300,21100,1300
0.3,1100,6800,478009,10100,4400,1100
0.4,2500,24001,691113,16900,24801,1600
0.5,1700,38900,766115,4700,38401,1300
0.6,1500,1100,610512,4700,1400,2300
0.7,1001,12500,653112,11200,11400,2200
0.8,1400,28901,721513,5801,28900,2400
0.9,1100,8200,729914,10301,8400,1200
1,1201,1300,770114,5200,1900,1400
