 ,DA,SA,LL,TV,VEC,CBT
1e-05,6800,35201,536911,11000,39701,1600
2e-05,1100,286706,363207,8800,300506,1200
3e-05,900,5101,356606,8601,4800,1200
4e-05,1000,20501,368707,11800,20700,1500
5e-05,1100,37901,356707,2800,35001,2300
6e-05,1400,25301,381307,11200,21501,1900
7e-05,2300,27301,502409,16101,21300,2000
8e-05,2500,10600,424708,12801,10300,1600
9e-05,1100,34500,358407,3400,27401,1700
0.0001,1100,5700,356907,12400,3400,1300
0.0002,1100,10701,359307,14300,6500,1800
0.0003,1700,44001,530610,18801,36300,1500
0.0004,1200,20600,418208,9801,14500,2700
0.0005,3100,23101,539110,15601,20100,2500
0.0006,2700,26901,426908,13900,19701,1800
0.0007,2400,18700,360107,13900,11800,1300
0.0008,1900,20701,359907,13800,15000,1700
0.0009,2100,52301,546311,10200,46701,1700
0.001,1500,24800,366607,3400,25201,1700
0.002,2600,30501,458609,6100,25701,1500
0.003,2900,45801,626612,10000,34301,2600
0.004,2700,21700,366007,4300,19201,2200
0.005,2300,41700,551311,17100,35101,1900
0.006,4401,18800,610411,21501,17200,2300
0.007,2900,7800,364707,11301,5100,2200
0.008,4200,38101,643012,13201,32000,2300
0.009,7700,21800,650513,22600,20100,2100
0.01,2800,1000,376907,1900,700,2600
0.02,2100,27901,390007,12600,22601,2300
0.03,2800,28600,573511,20101,25000,1800
0.04,2700,39001,388207,16001,25900,1800
0.05,3300,55801,664513,11500,48201,1900
0.06,3300,15200,731314,19101,15000,2100
0.07,3300,35301,398507,10600,23300,2600
0.08,1900,24601,615211,13800,20900,2001
0.09,1901,26700,644912,21700,23401,1500
0.1,2000,22801,429408,9800,10400,1600
0.2,2200,34001,714814,18900,26701,2100
0.3,1300,1400,474609,6800,1400,1500
0.4,2300,44101,606112,11700,38801,1300
0.5,3900,49701,1598631,10400,40001,1900
0.6,1400,23801,620912,17200,21901,1900
0.7,1800,43401,677013,1300,32800,1200
0.8,1800,31100,693699,17700,21000,1800
0.9,3000,36300,2178429,12400,29200,2700
1,2801,23500,773814,14201,20900,2800
