 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,400,3500,700,200,1200
2e-05,600,200,600,700,100,1600
3e-05,900,200,2400,500,200,1900
4e-05,800,200,2000,500,100,1901
5e-05,500,200,1300,500,300,1600
6e-05,400,300,400,400,100,1200
7e-05,300,100,400,500,200,1500
8e-05,2001,400,1300,1500,700,2000
9e-05,700,200,1000,300,0,3300
0.0001,300,200,600,300,100,1900
0.0002,1800,400,1300,400,100,1800
0.0003,1000,200,600,600,100,2000
0.0004,1100,100,800,700,0,1300
0.0005,1300,200,1100,1300,200,1300
0.0006,1700,400,1700,700,100,1500
0.0007,1700,200,600,800,400,2501
0.0008,1800,1000,1200,800,100,1700
0.0009,2400,300,1300,700,100,2700
0.001,1800,300,400,300,300,2300
0.002,1500,100,900,1100,100,1101
0.003,2100,400,1500,800,300,2400
0.004,1300,0,700,1000,100,2701
0.005,2900,200,1300,400,100,1900
0.006,1400,300,1700,900,200,2900
0.007,1400,300,700,1200,100,2700
0.008,2500,300,400,600,200,1600
0.009,1800,300,600,800,100,1500
0.01,1900,200,1300,600,0,1600
0.02,2600,300,900,900,300,1900
0.03,1700,200,800,700,100,2001
0.04,2500,300,1300,1200,300,1800
0.05,1600,300,600,700,500,1400
0.06,1700,100,600,600,100,3700
0.07,1700,300,1100,500,300,2100
0.08,2700,500,1700,600,200,1400
0.09,2600,0,900,500,0,1800
0.1,1700,100,800,600,0,3100
0.2,2800,200,2400,1500,100,1500
0.3,1900,200,1600,700,100,1900
0.4,1500,200,800,300,100,400
0.5,1500,200,200,300,300,1501
0.6,1000,100,400,800,100,1900
0.7,1200,1100,1200,600,200,900
0.8,1400,100,800,600,0,2600
0.9,1100,100,700,300,0,1800
1,2700,200,800,400,100,2000
