 ,DA,SA,LL,TV,VEC,CBT
1e-05,930,2315,2805,4515,1780,24160,
2e-05,780,760,2145,3470,495,25740,
3e-05,710,725,1710,3430,465,25090,
4e-05,525,645,1670,3335,455,23660,
5e-05,680,690,1895,3510,475,25210,
6e-05,660,750,1860,3500,390,26090,
7e-05,560,795,1750,3535,485,26380,
8e-05,950,840,1830,3480,480,23580,
9e-05,805,680,2085,3370,540,25950,
0.0001,755,685,1635,3480,420,26210,
0.0002,1075,1130,2160,3530,535,27145,
0.0003,1265,1280,1960,3640,540,26490,
0.0004,1355,1125,1795,3445,505,27575,
0.0005,1355,1225,1935,3580,535,28025,
0.0006,1260,1150,1775,3480,595,28740,
0.0007,1275,1250,1915,3545,510,27935,
0.0008,1495,1115,2690,3570,665,28695,
0.0009,1300,1225,2050,3685,585,27415,
0.001,1515,1120,2170,3655,535,28000,
0.002,1605,1010,2025,3535,525,28045,
0.003,1790,1220,2250,3500,650,29135,
0.004,1805,1210,1600,3760,495,27525,
0.005,2145,1150,2300,3670,540,28075,
0.006,2275,1185,2075,3680,660,28565,
0.007,2240,1115,2055,3605,565,29040,
0.008,2930,1190,2215,3610,665,29020,
0.009,2860,1250,2250,3595,560,29750,
0.01,2505,1240,1980,3680,580,29530,
0.02,3295,1010,2620,3630,610,27905,
0.03,3320,1085,2000,3790,480,30545,
0.04,3880,1265,2160,3610,540,30625,
0.05,3900,1345,2735,3840,560,28780,
0.06,6435,1215,2180,3680,545,31190,
0.07,4690,1200,2155,3690,545,29290,
0.08,5065,1045,2320,3575,605,27900,
0.09,4440,1170,2185,3750,490,27620,
0.1,4475,1165,2410,3635,570,31290,
0.2,4990,1055,2740,3630,505,27220,
0.3,4385,1070,2845,3485,580,27725,
0.4,5020,1160,2885,3605,600,30420,
0.5,4865,955,3080,3440,565,29540,
0.6,5120,1165,3075,3560,490,30950,
0.7,4860,1250,2810,4065,510,29055,
0.8,4765,1155,3365,3615,545,30990,
0.9,4705,1030,3530,3620,695,28795,
1,4700,1210,3600,3555,550,29910,
