 ,DA,SA,LL,TV,VEC,CBT
1e-05,500,4000,1600,4000,2400,22901
2e-05,1600,700,1700,3300,400,28401
3e-05,700,600,4200,4300,600,28501
4e-05,600,400,1100,3200,300,26601
5e-05,600,600,1900,3100,300,17500
6e-05,400,600,1100,3300,300,25801
7e-05,900,600,1200,3200,700,23600
8e-05,1500,600,2400,3100,500,27400
9e-05,600,400,2300,3300,600,33901
0.0001,1700,800,1800,4000,300,24401
0.0002,1100,1000,3500,3400,600,22000
0.0003,1100,2400,1600,4100,700,23600
0.0004,1200,1000,1800,3100,400,29301
0.0005,1300,1301,1500,3300,500,36000
0.0006,1000,1700,1400,3600,700,39501
0.0007,1400,800,1400,3400,401,32100
0.0008,800,1500,1200,3900,400,23700
0.0009,900,1100,1500,3301,300,19800
0.001,1800,600,4000,3200,400,29300
0.002,1600,700,1300,3100,900,28101
0.003,900,900,1500,3501,1300,29000
0.004,1300,1200,1200,3600,500,24501
0.005,1600,1100,1701,3300,500,23800
0.006,3601,500,1500,4200,300,34300
0.007,2100,800,1300,3200,400,22701
0.008,3600,1500,1900,3200,300,32801
0.009,1700,1100,4100,3900,400,25601
0.01,2800,1800,1400,5100,300,37501
0.02,2800,1100,12000,4100,300,24901
0.03,3200,1200,1300,3900,500,43801
0.04,4001,2400,5000,3600,801,40900
0.05,2900,1300,1700,4500,400,29701
0.06,3400,800,2000,3500,300,30901
0.07,3600,1600,1900,4300,200,32701
0.08,5700,1100,3500,4000,800,22601
0.09,3500,1100,2901,3800,500,28400
0.1,3701,1900,4100,4000,500,27900
0.2,4100,800,1600,3600,500,26100
0.3,4600,1000,1601,3200,500,27400
0.4,5600,1000,2000,4200,500,23200
0.5,5100,800,2100,3100,500,33801
0.6,6600,1100,5100,3900,700,29401
0.7,3300,2300,2600,4000,300,38001
0.8,3500,1100,2100,3101,300,34700
0.9,5500,800,2600,3200,900,29501
1,3600,1700,3200,3300,300,21601
