 ,DA,SA,LL,TV,VEC,CBT
1e-05,455,535,2470,3375,400,25250,
2e-05,255,355,2190,3360,310,24195,
3e-05,250,270,1590,3315,285,25660,
4e-05,285,355,2004,3305,290,24955,
5e-05,275,350,1650,3285,260,25500,
6e-05,275,355,1935,3240,290,31960,
7e-05,220,405,1660,3210,360,23665,
8e-05,215,315,1585,3205,265,24170,
9e-05,235,295,1695,3275,255,29810,
0.0001,210,320,1315,3210,270,24875,
0.0002,320,360,1625,3260,305,26485,
0.0003,415,505,2200,3350,295,24970,
0.0004,420,510,1380,3405,350,24775,
0.0005,430,445,1815,3240,290,26315,
0.0006,450,490,1660,3330,285,25160,
0.0007,475,370,1850,3415,240,28510,
0.0008,430,390,1530,3345,330,26175,
0.0009,470,470,1960,3195,275,26260,
0.001,525,475,1895,3400,355,26720,
0.002,670,485,1720,3390,300,28215,
0.003,645,545,1410,3650,320,26250,
0.004,655,600,1585,3345,290,26535,
0.005,770,555,1825,3600,370,28910,
0.006,760,525,2170,3320,350,26845,
0.007,815,620,1640,3645,390,27595,
0.008,860,545,1590,3350,295,29930,
0.009,825,600,2120,3360,325,27075,
0.01,795,545,2150,3360,320,28565,
0.02,960,510,1995,3390,319,27150,
0.03,890,435,2090,3635,370,28825,
0.04,1005,505,2065,3355,370,27415,
0.05,1055,505,1710,3470,345,28580,
0.06,1025,535,1870,3380,350,28415,
0.07,1090,450,2015,3430,340,28270,
0.08,1085,655,2375,3475,355,26150,
0.09,1180,555,2820,3430,300,26985,
0.1,1140,575,2515,3430,315,27985,
0.2,1110,535,2185,3425,380,26545,
0.3,1045,555,3630,3270,425,27750,
0.4,1055,410,2360,3390,385,29335,
0.5,1100,490,1965,3220,355,27650,
0.6,1095,515,2710,3320,395,28940,
0.7,1115,445,2805,3315,330,29480,
0.8,1090,525,2760,3350,340,26650,
0.9,1075,520,3640,3245,330,27010,
1,1260,605,3960,3370,390,26595,
