 ,DA,SA,LL,TV,VEC,CBT
1e-05,200,401,1600,3100,300,33200
2e-05,100,200,1500,3000,200,24500
3e-05,200,200,1300,3200,600,23401
4e-05,300,500,1300,2900,200,21900
5e-05,300,100,1000,3200,200,27401
6e-05,300,200,1400,3600,200,20800
7e-05,200,200,1000,3000,200,22001
8e-05,400,500,1400,3200,200,17001
9e-05,200,400,1200,3200,200,24701
0.0001,100,600,1200,2900,200,31501
0.0002,300,300,1100,3200,200,19001
0.0003,300,800,1400,3200,200,27600
0.0004,600,1300,1000,3300,300,26000
0.0005,500,500,1900,3400,300,28001
0.0006,500,1000,2000,3301,200,23300
0.0007,600,400,1100,3200,200,20600
0.0008,700,400,1000,3201,300,36900
0.0009,600,200,1000,3200,200,42300
0.001,300,300,1100,3200,300,28800
0.002,600,400,1000,3300,300,24100
0.003,500,300,1100,3900,300,30601
0.004,600,500,1500,3000,200,19201
0.005,700,500,1300,3500,200,22600
0.006,1100,400,1100,3300,300,24101
0.007,900,400,1300,3100,300,34900
0.008,700,400,1100,3200,200,31201
0.009,500,600,1500,3000,300,26901
0.01,700,300,2900,3000,300,23200
0.02,1200,700,1100,3400,400,24400
0.03,700,200,3100,3700,300,24500
0.04,1000,800,1400,3400,300,19001
0.05,1300,1200,1800,3800,400,25201
0.06,800,300,1800,2900,200,28001
0.07,900,500,1200,3500,400,28300
0.08,900,500,1500,3400,400,28600
0.09,1600,1600,2200,3000,200,32000
0.1,700,200,2000,3800,300,24101
0.2,900,500,1500,3000,300,23201
0.3,800,700,3100,3201,400,25900
0.4,1201,600,1800,3400,300,29400
0.5,1000,300,1900,3200,300,23500
0.6,1200,400,3500,3400,400,34101
0.7,1400,900,3600,3700,400,33801
0.8,900,300,1800,3000,301,20200
0.9,1000,800,2700,3000,500,19701
1,1100,200,2300,3100,200,19900
