 ,DA,SA,LL,TV,VEC,CBT
1e-05,3600,254205,751615,2494348,116902,30887990
2e-05,5800,108303,717813,2303844,116903,31433001
3e-05,8000,115303,717713,2323345,117902,29382762
4e-05,6300,111402,846916,2301644,120502,31673306
5e-05,5500,109302,827016,2304244,121803,31486702
6e-05,7200,111203,855916,2308044,122202,32098614
7e-05,8400,110602,845916,2306244,118002,30457183
8e-05,7601,108802,701413,2297144,122102,30382181
9e-05,10701,115602,855416,2300544,122003,27742230
0.0001,10000,112902,706913,2313844,117103,32633224
0.0002,16001,112602,845016,2302445,120002,33874847
0.0003,17100,110902,880117,2310144,121603,29674967
0.0004,16801,118102,601811,2312145,120502,30674686
0.0005,16501,110502,585111,2310944,121102,30394181
0.0006,19701,121702,574711,2305944,122802,31921910
0.0007,20100,110202,709814,2309044,120602,30434582
0.0008,17701,112502,580111,2309345,122102,30839489
0.0009,19501,114202,688913,2328944,119202,31689206
0.001,21600,127202,588612,2316644,118602,30910291
0.002,23600,110302,719714,2315845,122302,31311100
0.003,34700,115602,734314,2313045,120102,34164855
0.004,33301,111702,588611,2305244,122402,35075773
0.005,41701,121902,660213,2312344,121702,31981613
0.006,42501,124802,569011,2311544,132403,33205637
0.007,39201,114702,836816,2316145,138303,31678207
0.008,36501,113902,732414,2312044,121103,27745232
0.009,42001,111502,835516,2304744,119402,33574444
0.01,43001,124803,575311,2304145,121602,33170035
0.02,64801,116702,576312,2321545,120302,31967012
0.03,328907,240704,2622850,2343845,121502,61003869
0.04,86401,128903,598312,2332345,120602,32521523
0.05,100702,120302,923018,2313744,121603,31605005
0.06,114903,119902,666912,2323045,123402,31414902
0.07,107902,119802,734614,2439447,120502,33203037
0.08,120302,129002,715714,2344445,139802,33412441
0.09,133103,123802,632712,2347745,121302,33856049
0.1,128703,119402,972519,2338244,123303,33141835
0.2,147203,123003,775014,2377446,122602,30513088
0.3,157603,123702,909618,2318044,123903,33071035
0.4,154603,128903,960118,2319345,121702,32436421
0.5,147403,115902,1030020,2309444,126102,31324199
0.6,136603,116402,1073420,2346145,122903,31114694
0.7,137602,123703,1149022,2399646,122702,30886191
0.8,145603,115302,2531048,2315545,124002,31105997
0.9,156703,120302,1315625,3105960,119002,36015789
1,144402,120203,1378427,2468047,123102,33428941
