 ,DA,SA,LL,CBT,TV,VEC
1e-05,1550,53010,200042,949,3671,3516,
2e-05,246,43236,185455,827,4262,3083,
3e-05,291,48366,169096,722,4923,3433,
4e-05,220,35519,192796,758,5653,1983,
5e-05,440,40653,170568,656,7509,2884,
6e-05,279,60603,162006,616,4789,4726,
7e-05,218,55728,164853,536,3115,5846,
8e-05,545,51424,244192,811,4967,5783,
9e-05,261,31646,154717,636,4418,2176,
0.0001,270,70115,165164,497,3846,4049,
0.0002,500,67916,160367,554,5482,5099,
0.0003,448,57886,186722,575,5515,4170,
0.0004,482,32310,180413,567,5958,3636,
0.0005,398,60265,204618,577,5109,3888,
0.0006,338,47663,160724,560,5154,3128,
0.0007,586,36491,172295,762,4314,3492,
0.0008,446,44664,174453,617,5266,5245,
0.0009,401,63472,183255,537,4444,3958,
0.001,539,63036,194767,634,3820,5431,
0.002,665,78845,208444,736,4874,7157,
0.003,477,65237,198272,625,3678,3877,
0.004,534,55078,183000,641,5163,3311,
0.005,651,52354,201092,636,5116,6485,
0.006,523,74438,182422,592,4490,5025,
0.007,479,27006,197427,502,4727,1803,
0.008,1968,43021,168803,551,5364,3993,
0.009,720,57673,210740,881,10569,3009,
0.01,2619,48049,187758,631,5197,3938,
0.02,561,53262,182923,639,6878,4627,
0.03,592,40613,216479,606,5819,2392,
0.04,2347,45833,176160,493,4550,2780,
0.05,576,74302,211090,545,4098,8025,
0.06,473,40038,163672,497,3875,2473,
0.07,602,68190,183889,547,5311,5073,
0.08,660,56978,163976,570,4761,3726,
0.09,612,52100,179962,632,3062,4019,
0.1,728,54358,231915,653,8315,3718,
0.2,763,95701,192428,752,4414,6184,
0.3,531,67603,186316,666,7118,3867,
0.4,684,57345,203435,689,6823,3870,
0.5,765,57663,195616,705,7911,5866,
0.6,442,30060,175296,449,3951,1737,
0.7,599,59854,194368,547,6674,8594,
0.8,569,33987,242168,708,4469,2475,
0.9,624,67847,247749,658,5169,5241,
1,815,78059,247342,541,5446,4562,
