 ,DA,SA,LL,CBT,TV,VEC
1e-05,1000,225318,4982793,2500,13201,25402
2e-05,1401,12601,751559,3300,13501,2600
3e-05,700,267321,2861925,2601,29502,22902
4e-05,700,139411,751960,2200,36703,12501
5e-05,600,203916,727357,2000,27103,15001
6e-05,700,392631,1014780,1800,25402,27302
7e-05,800,335226,805964,2000,29302,23102
8e-05,1901,307124,3856504,3000,38403,28902
9e-05,1601,218117,8686284,2801,36502,18602
0.0001,1401,135810,802963,3100,47204,9501
0.0002,1500,179814,825665,3200,438335,10001
0.0003,1700,83707,643251,2800,30502,11901
0.0004,2901,72505,801763,2600,26002,7501
0.0005,2200,431334,792963,2200,6301,42003
0.0006,1500,39003,737758,3201,32502,4401
0.0007,2300,100808,788963,2700,27102,8901
0.0008,3500,117309,750259,2101,31602,14101
0.0009,1800,175014,790462,2200,20802,13201
0.001,2200,106508,773861,2901,44003,11401
0.002,2201,127210,722557,2800,26702,14101
0.003,2100,266121,625749,2300,13801,32302
0.004,2800,426234,1066984,2800,14901,35103
0.005,2600,41303,848667,2100,33903,5300
0.006,2800,154112,7560096,2500,25002,13501
0.007,2901,166013,1342405,2301,13101,23401
0.008,2200,61705,913472,2600,28102,6301
0.009,2400,312524,793362,3001,34602,29203
0.01,1900,240819,2624807,2900,32202,15501
0.02,2201,176413,718256,3601,20501,22602
0.03,2600,104108,726757,2601,27302,9000
0.04,2000,277322,1077385,2001,9000,34003
0.05,2800,230819,1068384,2800,20002,22002
0.06,3600,137911,1128489,2200,37403,14501
0.07,2100,163713,4599863,2600,26502,11901
0.08,2000,16302,582146,2900,9401,1800
0.09,3000,118209,838367,2900,31602,10001
0.1,2100,95708,873869,3300,32202,7601
0.2,2600,386430,4105225,2401,13001,22801
0.3,3700,150312,1024081,2600,32703,9501
0.4,3400,191216,2842424,3301,17901,17301
0.5,1900,81507,4984093,3600,46103,9601
0.6,3700,365829,1650330,2201,39803,35803
