 ,DA,SA,LL,CBT,TV,VEC
1e-05,1700,436534,876869,2000,6300,28602
2e-05,2400,128311,786062,2100,28202,10701
3e-05,1501,230418,778761,2400,33003,16701
4e-05,3500,206116,806064,3100,38603,17202
5e-05,2300,186614,803863,2000,23102,13201
6e-05,2100,240119,5035897,2301,24702,12901
7e-05,3400,83406,724758,2600,17901,6801
8e-05,3300,128310,614249,3200,31603,17101
9e-05,2000,114009,564444,2100,22102,10301
0.0001,3900,585546,844667,1900,13901,43603
0.0002,2800,375429,800263,2100,21802,23602
0.0003,3200,124310,830266,3000,31203,11901
0.0004,3601,309624,900271,2300,16301,25402
0.0005,4400,449535,4518956,3401,15001,139211
0.0006,3801,36302,784062,2500,23102,4100
0.0007,4501,385430,4851082,2900,25502,30203
0.0008,3000,376630,4758275,1900,8801,30603
0.0009,2000,20502,638651,2300,8400,1701
0.001,3200,134811,682154,2500,30103,12701
0.002,3900,196815,5059899,1901,35802,14601
0.003,4000,79507,842566,2901,29802,8901
0.004,3200,63205,788062,2600,36103,6401
0.005,4100,469937,2762718,3000,17102,32002
0.006,2800,320025,720257,2600,13001,26503
0.007,3600,461136,854068,2200,16301,39803
0.008,2900,499040,3665689,1700,10201,34003
0.009,3900,6901,498439,2600,7201,1300
0.01,3800,105508,5001795,2800,32102,9401
0.02,4200,413333,4748575,2400,24902,31202
0.03,2300,437835,1081085,3701,23202,32302
0.04,3500,526142,1055484,2400,7000,36003
0.05,3800,233319,1079085,3201,56104,16201
0.06,3100,3800,833466,2100,4601,1400
0.07,3500,211317,1068885,2400,29802,10501
0.08,2100,383830,829966,2100,21002,45903
0.09,3000,358029,13050232,2801,17801,36503
0.1,3500,196716,1324605,2700,38103,17002
0.2,2800,82006,1186794,2500,45904,7701
0.3,2900,618649,1637429,2301,5300,49604
0.4,3400,20702,1573624,2500,16002,3200
