 ,DA,SA,LL,CBT,TV,VEC
1e-05,9031,212,696,6102,1296,209
2e-05,8363,10003,739,6150,2026,505
3e-05,10343,9734,1671,35300,1596,926
4e-05,10206,67785,502,1492591,1529,493
5e-05,14752,196,979,3958,1049,133
6e-05,7193,7773,586,12393,485,433
7e-05,9366,10033,1124,46863,1731,649
8e-05,9940,261,1182,45651,1737,227
9e-05,10102,581201,643,1600624,1871,464
0.0001,18099,610,1781,34783,1945,291
0.0002,8799,205,777,2372,1626,279
0.0003,6460,243,311,1857,498,75
0.0004,10099,194,525,1796,659,160
0.0005,1361,253,392,2048,1380,150
0.0006,12845,459,963,2283,1541,106
0.0007,1010,203,936,931,792,93
0.0008,1017,219,456,1118,835,155
0.0009,1033,211,357,1688,694,181
0.001,1021,215,554,2263,754,222
0.002,887,231,446,1322,419,142
0.003,1270,201,410,1467,609,67
0.004,912,82,210,882,438,70
0.005,1004,166,312,869,750,123
0.006,1208,60,373,816,341,55
0.007,1089,163,609,1074,772,76
0.008,758,105,153,790,259,56
0.009,1138,104,304,865,455,53
0.01,772,105,158,815,398,55
0.02,1036,60,369,699,301,57
0.03,941,170,197,677,320,58
0.04,1091,161,413,925,730,168
0.05,1035,161,504,614,493,60
0.06,843,58,240,1042,280,58
0.07,1032,169,382,545,529,61
0.08,1199,163,552,846,644,168
0.09,1163,120,325,618,329,60
0.1,926,59,130,755,403,54
0.2,1374,190,405,1530,530,121
0.3,1125,166,900,716,693,163
0.4,1608,106,402,1241,422,57
0.5,1454,147,162,1016,575,148
0.6,2258,232,1844,1437,1148,169
0.7,1319,65,261,937,461,61
0.8,3978,755,4526,5934,1960,120
0.9,2996,186,1365,1944,920,209
1,887,405,178,537,259,172
