 ,DA,SA,LL,CBT,TV,VEC
1e-05,2400,2800,3601,67205,5600,1801
2e-05,2300,2300,2301,49204,6300,2700
3e-05,2400,1500,2901,53004,5500,1600
4e-05,1700,2300,3501,40003,6200,2300
5e-05,1700,2001,2900,52004,5300,1600
6e-05,2000,1900,2600,37103,5901,2100
7e-05,1500,1300,3200,37102,4901,1400
8e-05,1600,1600,1701,33302,5501,1700
9e-05,3100,2201,2800,51204,5101,2000
0.0001,3500,3200,3401,44403,5901,1900
0.0002,2800,2200,3300,55305,5900,2500
0.0003,2400,1400,1800,54905,5200,1800
0.0004,2200,1800,1900,58405,5400,2100
0.0005,3100,2201,2400,59305,5400,2000
0.0006,2100,2000,2501,36703,5400,2200
0.0007,2200,2701,2000,61405,5800,1900
0.0008,3400,2300,3100,41404,5700,2500
0.0009,2900,2800,2800,48404,6401,2100
0.001,2400,1800,1701,68505,5400,1701
0.002,3400,2500,2700,438634,7201,2200
0.003,2300,3000,1700,21902,5500,1900
0.004,3400,2001,1900,54104,5801,1400
0.005,3400,2301,1700,51704,5001,1900
0.006,3200,2300,2000,47404,5801,2200
0.007,2300,2600,4701,32802,5201,1800
0.008,3701,3000,2000,53704,5201,2000
0.009,3800,2501,2400,32903,4900,1800
0.01,4200,2901,2100,57705,5600,2300
0.02,3901,2400,1800,41203,5801,2100
0.03,3701,1600,2100,43003,4601,1300
0.04,5901,2600,4000,75706,6400,2701
0.05,6100,2001,2300,52004,5501,2200
0.06,5901,2300,3600,51004,5300,1800
0.07,4901,2400,1900,47504,5300,1700
0.08,7900,2601,4101,58804,6701,2200
0.09,6400,1701,3300,37903,4001,1600
0.1,4700,1900,1600,30803,5100,1700
0.2,6001,1500,1800,40003,4500,1400
0.3,6700,1500,4101,46603,4101,1600
0.4,8300,1900,3700,60104,4301,1500
