 ,DA,SA,LL,CBT,TV,VEC
1e-05,1100,1100,2501,28502,4100,1200
2e-05,900,1000,1700,21902,3600,1300
3e-05,900,901,2200,30002,3300,1201
4e-05,1000,1100,1500,20302,3400,1400
5e-05,900,1100,2000,23102,3200,1000
6e-05,900,700,1200,23402,3201,1200
7e-05,1000,800,1500,25803,3400,900
8e-05,800,900,2100,26502,3201,800
9e-05,800,1000,900,16501,3701,1000
0.0001,800,900,1000,26702,3501,900
0.0002,700,800,1400,11901,2901,1000
0.0003,1000,1300,2700,21602,4000,1501
0.0004,1200,1000,1300,19102,4100,1200
0.0005,900,600,1900,21502,2800,1200
0.0006,1100,1000,2501,20701,4101,1800
0.0007,700,900,1100,19202,3200,1000
0.0008,700,900,1100,28502,3201,700
0.0009,700,1300,1000,14701,1800,400
0.001,1200,1100,2701,24802,3500,1200
0.002,1200,1500,3000,21402,3700,1800
0.003,1100,900,1100,26902,3201,1100
0.004,1300,900,2401,19101,4100,1700
0.005,1400,1200,2300,25602,3700,1300
0.006,1400,1101,2000,31202,3701,1400
0.007,900,800,1100,27102,3800,1100
0.008,1200,700,1700,25802,4000,1201
0.009,1000,1000,1600,21102,2600,1400
0.01,1400,1000,2200,23902,4101,1500
0.02,1300,1200,3400,29002,3901,1500
0.03,1300,1001,3300,30402,3601,1400
0.04,1300,1100,2101,24901,3300,1100
0.05,1300,1000,1700,23602,4500,1601
0.06,1601,1000,1600,27902,3500,1200
0.07,1400,900,1401,19401,3400,1401
0.08,1600,1100,2500,12701,3200,1500
0.09,1400,900,1200,27602,2900,1401
0.1,1600,1101,2200,15901,3500,1501
0.2,1400,1000,1201,25702,3200,1300
0.3,2100,1000,4400,21402,3600,1500
0.4,1100,800,1801,22501,3301,1000
0.5,1500,700,2001,23702,2700,900
0.6,1900,1100,4800,27302,3901,1600
0.7,1400,1000,3600,20902,3300,1300
0.8,1500,1000,2200,22002,3400,1601
0.9,1300,1400,6200,18301,4001,2100
1,1301,1300,3300,31102,3001,1300
