 ,DA,SA,LL,CBT,TV,VEC
1e-05,18231,162863,334331,14787069,973215,257492,
2e-05,6020,144410,760117,15884968,907832,265831,
3e-05,6087,156247,256281,16044844,887376,277493,
4e-05,37481,160584,276022,15063338,908197,255760,
5e-05,5288,148382,246080,19347735,929747,258147,
6e-05,8729,179307,317698,16318348,941472,258734,
7e-05,7172,156709,250680,14865977,914368,238109,
8e-05,8512,160232,253137,15019787,1044702,280588,
9e-05,9543,158351,265879,16261976,1017709,280584,
0.0001,6959,171376,314115,14140312,944368,250014,
0.0002,11385,166131,282374,16449883,1224478,336800,
0.0003,10820,168661,280869,15714858,1017537,265884,
0.0004,12483,287575,463651,17968198,1088387,331317,
0.0005,11555,177240,259616,16441343,1068866,287775,
0.0006,10322,181346,273023,22285328,1051720,294618,
0.0007,10749,174976,248861,28801877,1018195,248501,
0.0008,9634,176851,245232,16483599,1263606,267931,
0.0009,11138,173943,275558,16654465,1005195,285859,
0.001,9377,149462,249241,15332690,957951,277012,
0.002,12374,193541,680394,18926439,974362,742156,
0.003,11902,148616,250154,14901555,925378,259167,
0.004,13373,188962,260914,14419187,926866,238295,
0.005,13804,148784,255950,14362796,863884,252830,
0.006,15549,147036,244431,14343975,857156,237319,
0.007,14842,138152,254022,14598904,946362,266291,
0.008,16100,142097,263808,13651193,858193,231005,
0.009,19403,154380,267833,13790779,888267,259306,
0.01,20600,163010,229234,17825672,916953,261190,
0.02,24467,142017,249140,13353195,844845,223049,
0.03,38497,148121,270357,16071677,974753,290088,
0.04,37351,141320,261541,13577234,893503,235591,
0.05,42914,148959,248940,13654497,849577,259993,
0.06,43100,163206,262791,14640953,974946,301494,
0.07,39711,144574,240110,13993954,830304,242913,
0.08,45422,146176,282878,14450338,854406,231271,
0.09,43582,138631,237333,13559175,878491,282875,
0.1,52673,169373,296070,13985303,858265,232939,
0.2,46753,139228,248820,14027561,934512,250659,
0.3,46586,152879,283557,13494080,866321,224014,
0.4,45177,150980,309456,14044630,812522,234841,
0.5,45584,155684,329951,13870507,877948,243972,
0.6,51886,147823,318052,13019647,861134,215874,
0.7,45552,140932,362678,13325891,913020,225822,
0.8,73119,203471,498731,16459173,935941,283159,
0.9,44725,142591,380217,13634455,834956,238440,
1,50364,147218,399055,13406335,861501,246650,
