 ,DA,SA,LL,CBT,TV,VEC
1e-05,27528,294565,575833,33293171,2144427,493536
2e-05,13024,297504,567087,32404518,1914352,527684
3e-05,20859,310957,530443,25279083,1686391,500720
4e-05,228405,282512,668981,25086928,1711105,469214
5e-05,14177,265819,463290,25220312,1678450,456882
6e-05,12608,285246,501447,30013020,1728677,452785
7e-05,13840,275360,471728,25533350,1618195,416400
8e-05,15583,263791,531202,27990244,1826626,568466
9e-05,10472,292746,525912,30100987,2060095,489339
0.0001,11310,312105,453564,28336055,1908651,456421
0.0002,18178,271718,543754,29989054,1842702,518812
0.0003,22528,284834,473135,31404056,1890199,505030
0.0004,34679,380211,537717,35016722,2320776,679014
0.0005,22968,337801,476596,34533608,1901748,523184
0.0006,29169,438208,585490,39581278,2825079,821192
0.0007,29131,423639,508365,30197703,1945579,600759
0.0008,18311,298115,489929,26960834,2042014,453058
0.0009,16324,278454,488450,27370435,1735003,465907
0.001,19556,273705,438724,25432416,1712630,463433
0.002,31073,634311,4847299,59854411,2397686,5344000
0.003,25504,368098,589110,34735782,2265354,616478
0.004,18588,312795,553967,31293668,2075534,526909
0.005,22928,290817,548783,27262801,1806979,493497
0.006,33286,268462,460019,27904989,1760834,486146
0.007,33102,275436,499717,28742102,2380197,520607
0.008,22939,241706,420769,25380675,1534260,422294
0.009,34890,258495,526687,26291279,1607093,438239
0.01,29537,255860,448818,26298167,1534438,424808
0.02,46817,295813,544255,27714368,1756461,416835
0.03,93435,375214,550113,49493882,2559362,872933
0.04,77397,295865,637966,28853761,1766560,475603
0.05,64140,265683,447785,24683407,1540143,421736
0.06,72322,276189,447856,26899006,1967770,755363
0.07,83532,342977,430256,26558645,1623719,601007
0.08,69348,263786,551366,34131905,1676947,453169
0.09,77942,285497,488537,28356804,1678181,738772
0.1,94353,320986,627429,29036212,1685516,475028
0.2,126644,266791,538203,25643998,1651594,412520
0.3,80726,405871,603848,24422459,1713265,422188
0.4,74034,278326,522755,21934885,1675296,408834
0.5,75287,365750,575765,25890460,1568504,544425
0.6,171793,313398,830225,26174529,1682229,457742
0.7,83702,279009,596509,24731070,1506782,412736
0.8,91587,287418,628439,22961414,1499447,448818
0.9,70065,280591,675149,26345988,1536279,420634
1,131776,351263,672644,26600628,1511110,447045
