 ,DA,SA,LL,TV,VEC,CBT
1e-05,490,10210,306515,4650,10650,960,
2e-05,280,6820,278694,6780,6010,770,
3e-05,250,13750,181483,7000,12450,900,
4e-05,230,8740,192883,6470,6590,730,
5e-05,290,8230,214283,7240,7840,860,
6e-05,350,13310,223584,7700,13120,820,
7e-05,340,7140,214173,5770,5960,880,
8e-05,360,4110,178593,5970,3630,930,
9e-05,660,4710,214153,5950,4470,950,
0.0001,500,7560,228184,8820,7040,1000,
0.0002,840,9010,257144,9030,8080,1070,
0.0003,420,13150,198443,6220,11540,1100,
0.0004,570,13100,214714,5870,11510,1090,
0.0005,750,9000,233134,9650,8370,960,
0.0006,640,14550,215673,6790,13180,1120,
0.0007,570,12400,238014,8260,11470,1120,
0.0008,920,9330,245064,7610,8600,1040,
0.0009,840,9090,272004,6160,8380,1060,
0.001,750,9420,213343,5920,8890,1080,
0.002,1200,13680,267274,8020,13140,1160,
0.003,890,9440,212444,4970,8290,990,
0.004,840,7840,226044,6850,7320,1290,
0.005,970,9440,247894,9360,9000,1030,
0.006,760,15350,250634,7280,14130,990,
0.007,1350,9590,214874,5650,9330,1020,
0.008,1140,13630,291225,6990,12140,1240,
0.009,1340,6690,271614,10670,6400,1110,
0.01,1010,13540,245264,7110,12020,940,
0.02,1130,10530,259074,6310,10540,1150,
0.03,1310,11720,211713,6830,10840,800,
0.04,1340,9000,205643,6320,8230,970,
0.05,1060,12770,244114,7900,11600,780,
0.06,790,9130,271115,7890,8700,820,
0.07,1030,13660,224144,6840,11230,950,
0.08,1130,10450,239324,7560,10180,1020,
0.09,950,8370,265334,9920,7200,1060,
0.1,870,12740,295365,8890,9620,1030,
0.2,1110,6670,359096,5570,6430,1110,
0.3,820,7820,310915,8270,7640,1000,
0.4,1240,9650,437187,7640,8650,1130,
0.5,940,8550,374816,9950,7370,1090,
0.6,1070,9390,751973,9630,8750,1000,
0.7,1280,12140,684542,8480,11720,1070,
0.8,1080,12520,562730,8400,12300,1020,
0.9,1320,5750,838524,6010,5550,1290,
1,920,8850,668162,9200,8230,1090,
