 ,DA,SA,LL,TV,VEC,CBT
1e-05,1600,39801,615111,22201,26700,2100
2e-05,500,1800,386508,7900,2700,2100
3e-05,600,29101,373307,21000,25801,1700
4e-05,500,4800,361507,12300,4100,2200
5e-05,600,25700,358107,10800,22001,1700
6e-05,600,20200,359307,21400,12900,1500
7e-05,1100,7000,358507,15900,4900,2800
8e-05,1600,7500,369407,14801,6000,1600
9e-05,3200,31400,667513,24800,29801,2600
0.0001,1900,19200,402708,13800,15900,2800
0.0002,1600,1000,399908,2900,1100,1600
0.0003,1300,46901,554110,5200,45400,2201
0.0004,1200,20301,497609,17500,20901,2000
0.0005,1901,6300,359906,15601,6700,2000
0.0006,1800,40800,639212,14801,36200,2200
0.0007,1500,50601,627712,6200,43701,3100
0.0008,1800,3300,380207,8701,1800,2400
0.0009,1500,37201,599511,16701,35500,3000
0.001,1200,22601,394207,26100,21501,2500
0.002,3100,12400,387908,15800,12400,2600
0.003,2500,11300,384007,17501,9600,1800
0.004,3000,33201,646312,28200,34601,3400
0.005,3400,5300,423708,18601,5300,3100
0.006,2900,29300,657312,32100,30701,2001
0.007,2400,37201,640212,30401,33600,2300
0.008,2100,40601,643012,18201,37200,1800
0.009,2500,14400,387308,16200,14200,2000
0.01,3200,5500,667013,15600,5700,2800
0.02,1600,11400,380407,16200,8901,1900
0.03,1900,41001,686312,31300,38901,2201
0.04,2100,14900,653013,17500,15100,2400
0.05,4001,9800,674612,24500,9201,2000
0.06,1800,14200,698913,24901,15300,2500
0.07,1400,17300,455109,13800,15501,2700
0.08,2000,9200,419608,25300,9601,2000
0.09,2100,7200,478909,17700,6901,2400
0.1,2900,42801,1263824,25700,47001,1700
0.2,2800,10200,5069595,17000,9900,2800
0.3,2300,31401,5237997,34101,33101,2600
0.4,4900,32901,1633330,11901,33500,3100
0.5,2200,38900,5254298,30600,38901,3801
0.6,3200,16101,5766606,20600,18301,4000
0.7,4100,34900,956818,18100,1831834,2600
0.8,2300,37600,7306137,33201,39700,2800
0.9,5100,5200,6204116,11400,4800,4200
1,4001,32100,5011993,24601,28600,2400
