 ,DA,SA,LL,TV,VEC,CBT
1e-05,2530,113482,310875,7380,111072,1190,
2e-05,810,15670,272455,5490,15090,1190,
3e-05,750,15480,253604,5690,14800,860,
4e-05,1130,16520,238244,5520,13400,1190,
5e-05,830,14840,226664,4110,14280,890,
6e-05,1540,14110,247764,6320,13220,1210,
7e-05,1170,14140,243284,4120,14660,1040,
8e-05,1080,12520,206253,6340,11510,1240,
9e-05,1030,3910,213273,6090,3820,1200,
0.0001,1340,13970,233444,7240,13890,1270,
0.0002,1860,9130,312435,6910,8500,1500,
0.0003,1520,11630,246424,10370,9870,1330,
0.0004,2000,14610,280225,6840,13630,1580,
0.0005,1950,17110,287595,7180,15880,1450,
0.0006,1970,12280,293375,7150,11710,1630,
0.0007,1740,15900,298665,6320,14540,1400,
0.0008,1800,15950,273714,6760,14490,1240,
0.0009,1920,13800,289075,5440,13520,1400,
0.001,2230,15380,327965,5690,14780,1800,
0.002,2330,12190,274225,7970,11140,1590,
0.003,1980,7550,267914,8860,9300,1520,
0.004,2020,16190,269525,6380,14630,1240,
0.005,1960,15520,281115,6090,14900,1510,
0.006,2480,15640,293825,6410,13600,1320,
0.007,2140,17800,681112,8280,16960,1320,
0.008,1590,17550,294925,4780,16630,1490,
0.009,2110,12320,293575,10870,12140,1260,
0.01,1760,18370,308975,5630,16570,1510,
0.02,1870,17110,696632,8500,15770,1360,
0.03,2820,11590,329096,9160,10760,1540,
0.04,1830,13850,307015,8270,12260,1520,
0.05,1730,9080,315226,6550,8170,1370,
0.06,1350,12170,1447756,7180,10670,1310,
0.07,1400,14250,300685,8790,12470,1270,
0.08,1770,15380,369725,8990,14450,1480,
0.09,1830,23270,346966,5410,21320,1420,
0.1,1570,17570,369806,5870,16190,1420,
0.2,1590,15810,450338,7540,14870,1200,
0.3,1770,9570,443667,5770,9490,1490,
0.4,1450,13840,538729,10800,12530,1750,
0.5,1660,15130,1137040,5780,14310,1610,
0.6,1530,11630,808945,8360,10520,1130,
0.7,1630,14500,1489937,9350,13440,1810,
0.8,1680,10180,677092,5340,9460,1370,
0.9,1480,13920,714773,4960,13020,1870,
1,1490,14930,927396,7350,14240,1580,
