 ,DA,SA,LL,TV,VEC,CBT
1e-05,7800,359406,628612,15800,347906,2700
2e-05,1200,28501,380607,10700,27900,2500
3e-05,1000,29701,357907,5900,22300,1400
4e-05,900,23301,357106,6700,13501,1300
5e-05,1400,800,356806,3400,900,1500
6e-05,2500,26200,493409,8401,27100,2300
7e-05,2200,200,357907,1200,600,1500
8e-05,1500,15500,405408,22400,14100,1900
9e-05,1500,2401,354006,6900,2100,2500
0.0001,1300,20801,357306,15600,17001,2500
0.0002,2700,27600,632211,21001,22700,3300
0.0003,4000,10100,367607,14900,8500,2300
0.0004,2600,6500,552810,18201,7500,2600
0.0005,2700,2500,359707,6300,1500,1800
0.0006,1300,11701,363506,17001,11400,2200
0.0007,1900,7800,529310,20600,6500,1600
0.0008,2800,9100,364106,17301,6600,2900
0.0009,1500,41901,561110,8400,39401,1800
0.001,1800,3200,368506,11200,4300,2901
0.002,4100,24901,622311,25500,24901,3800
0.003,1400,35600,371007,9300,31601,2200
0.004,2100,16200,522209,15301,13900,1600
0.005,2900,37401,529009,26101,37000,2500
0.006,2700,45001,642711,6400,45001,3200
0.007,3300,50301,666912,12500,46501,2500
0.008,1600,37101,373307,8900,25000,1400
0.009,4200,7500,644012,21000,8400,2100
0.01,4400,35001,572410,26601,33600,2300
0.02,1400,8600,367506,14401,8200,1500
0.03,3701,500,374506,1500,900,1600
0.04,2300,40101,636712,13500,33700,2100
0.05,3800,29500,654812,27801,28500,1500
0.06,1800,8701,393707,20400,5600,2200
0.07,3100,24401,847015,31001,26200,2400
0.08,1500,16200,424408,10300,19200,1900
0.09,2700,47301,677413,11800,47801,1700
0.1,3000,17401,846015,15000,17801,2200
0.2,1600,1300,484309,2400,1700,2200
0.3,1800,30501,617211,20400,27901,2200
0.4,1800,39201,590711,15900,38301,1900
0.5,3200,53901,1543828,6400,47101,1700
0.6,2800,41501,1337024,29001,37100,3400
0.7,4201,8600,1902334,24000,9500,3400
0.8,2000,11401,696712,25201,7400,2700
0.9,3100,47501,1042619,10800,44501,2000
1,2300,44401,1272023,31600,39701,1900
