 ,DA,SA,LL,TV,VEC,CBT
1e-05,550,200,410,350,130,800,
2e-05,260,170,520,380,80,770,
3e-05,210,110,210,230,90,660,
4e-05,230,110,260,250,60,650,
5e-05,230,60,300,260,50,550,
6e-05,230,70,320,290,60,860,
7e-05,260,90,320,290,20,800,
8e-05,180,110,310,280,60,670,
9e-05,310,140,380,290,60,820,
0.0001,220,90,280,250,70,760,
0.0002,340,140,260,260,80,700,
0.0003,790,190,580,330,130,690,
0.0004,360,110,270,260,150,630,
0.0005,510,170,390,370,80,800,
0.0006,460,100,440,400,110,770,
0.0007,470,170,340,330,100,720,
0.0008,580,90,370,310,110,770,
0.0009,590,90,240,200,50,890,
0.001,510,80,230,300,50,700,
0.002,790,130,400,370,90,880,
0.003,870,170,520,320,100,1040,
0.004,830,110,320,460,60,930,
0.005,750,160,640,310,50,810,
0.006,790,190,540,400,100,690,
0.007,790,140,450,300,10,890,
0.008,800,150,450,340,110,1030,
0.009,780,90,400,250,90,650,
0.01,820,120,400,410,70,900,
0.02,930,150,460,240,70,850,
0.03,680,110,760,340,50,690,
0.04,1030,170,460,540,150,750,
0.05,880,130,470,300,50,860,
0.06,970,160,560,340,140,830,
0.07,770,120,260,320,60,640,
0.08,830,130,720,300,110,590,
0.09,810,100,500,380,60,770,
0.1,860,130,360,320,90,770,
0.2,830,170,410,440,60,880,
0.3,1030,190,540,480,60,670,
0.4,710,110,540,400,80,840,
0.5,760,110,440,230,80,810,
0.6,760,80,660,410,60,810,
0.7,910,180,450,280,80,790,
0.8,800,120,470,300,50,810,
0.9,780,90,660,370,80,890,
1,740,140,880,250,110,740,
