 ,DA,SA,LL,TV,VEC,CBT
1e-05,600,300,1800,800,200,2600
2e-05,600,100,200,300,100,1300
3e-05,500,300,900,1300,200,2000
4e-05,1000,200,700,800,200,1600
5e-05,500,300,500,600,300,1000
6e-05,400,100,800,600,100,1400
7e-05,600,200,800,500,100,1100
8e-05,500,200,700,700,200,2200
9e-05,300,100,400,500,100,1100
0.0001,500,0,400,200,0,1600
0.0002,1200,300,1100,900,300,1500
0.0003,700,300,2100,1300,100,2500
0.0004,2600,900,2600,1400,300,2600
0.0005,1500,300,1200,1500,400,3200
0.0006,1900,300,1800,1000,300,4200
0.0007,1500,400,1100,1200,300,4100
0.0008,1600,300,1200,1000,300,3500
0.0009,1300,400,500,900,200,4800
0.001,2100,600,800,700,100,1400
0.002,3500,300,4001,1600,400,2600
0.003,3100,300,1200,400,100,2400
0.004,2200,300,1500,1200,300,3900
0.005,2000,200,1000,1400,400,3100
0.006,2900,300,1100,700,200,4100
0.007,2200,300,900,1301,300,4800
0.008,1600,300,1100,600,300,2001
0.009,2000,300,1600,1100,300,3200
0.01,2400,900,1200,1200,200,2600
0.02,2000,200,1800,1000,300,2300
0.03,2201,400,1100,800,200,2700
0.04,1800,200,1900,600,400,2200
0.05,1900,400,1000,500,100,4000
0.06,3300,300,900,1000,400,2700
0.07,2100,200,500,700,400,1900
0.08,2700,1300,2100,800,300,2901
0.09,2100,300,1300,700,300,4600
0.1,2100,300,700,900,300,2200
0.2,1601,300,1000,1400,400,1500
0.3,1800,200,300,2200,400,2100
0.4,2600,500,1600,1100,300,2100
0.5,4000,300,3800,1300,300,2900
0.6,1600,500,900,500,100,2100
0.7,2800,300,3200,1700,400,3000
0.8,1700,300,1300,700,300,2900
0.9,1800,300,2000,800,400,2300
1,2200,300,5500,1201,300,2000
