 ,DA,SA,LL,TV,VEC,CBT
1e-05,480,1330,1370,1890,1090,13720,
2e-05,430,450,1220,1950,420,11850,
3e-05,380,540,880,1770,300,12860,
4e-05,250,260,880,1660,240,13830,
5e-05,390,410,1010,1780,260,13020,
6e-05,510,460,1100,1990,270,10960,
7e-05,370,340,750,1820,250,12420,
8e-05,410,410,970,1830,270,13520,
9e-05,610,490,1070,1670,230,16100,
0.0001,500,360,740,1670,280,13650,
0.0002,650,560,1280,1890,230,13090,
0.0003,860,610,1130,2180,280,13850,
0.0004,730,510,1310,1900,360,15610,
0.0005,690,610,860,1940,300,16250,
0.0006,770,480,1150,1770,250,15600,
0.0007,700,540,1200,1850,280,14050,
0.0008,840,710,1200,1870,320,14410,
0.0009,810,700,1020,1980,410,14250,
0.001,630,580,1020,1880,250,13760,
0.002,1050,650,1300,1700,390,14420,
0.003,1090,590,1260,1820,320,15160,
0.004,1090,510,1290,1870,240,14580,
0.005,1170,790,810,2000,320,16910,
0.006,1260,690,1010,2000,280,16580,
0.007,1090,730,950,1860,310,15740,
0.008,1380,570,1150,1800,270,16820,
0.009,2260,600,1230,2110,250,14090,
0.01,1570,540,1310,1820,290,14870,
0.02,2020,530,1150,1800,1390,15140,
0.03,2030,680,1440,2100,220,17300,
0.04,1980,580,1640,1830,310,14020,
0.05,2150,480,1060,1790,260,15900,
0.06,2220,640,1430,1790,240,15750,
0.07,2550,810,1360,1920,250,15480,
0.08,2560,650,1510,1890,320,16650,
0.09,2320,730,1370,1890,260,16520,
0.1,2550,610,1290,1800,270,14230,
0.2,2730,500,1670,1880,310,16560,
0.3,2560,440,1430,1800,290,15450,
0.4,2590,620,1690,2030,260,14890,
0.5,2410,490,1330,1970,360,14700,
0.6,2480,590,1390,1770,210,16200,
0.7,2350,550,1640,1840,210,17220,
0.8,2690,460,1790,1930,240,15800,
0.9,2560,670,2480,1990,220,16060,
1,2750,560,2170,1770,310,16760,
