 ,DA,SA,LL,TV,VEC,CBT
1e-05,1200,2000,3200,3700,400,24101
2e-05,800,1000,3100,3900,1000,30501
3e-05,700,1000,1100,4100,300,27500
4e-05,400,700,1200,3500,300,27400
5e-05,500,700,1100,3700,300,23600
6e-05,900,1800,3200,4300,500,23900
7e-05,1000,600,1700,4100,300,31700
8e-05,500,400,2400,4300,400,30700
9e-05,1600,1600,4900,3200,500,30601
0.0001,2400,1200,2300,3500,400,26100
0.0002,1400,900,3400,3700,500,28300
0.0003,1200,1600,1700,4300,600,32001
0.0004,2000,1100,2100,3300,1200,29900
0.0005,1300,1700,1400,4700,400,38001
0.0006,1500,1100,3100,3900,500,35701
0.0007,800,1400,1800,3900,800,28900
0.0008,1500,1200,3100,3400,500,25600
0.0009,2300,1100,3300,4000,600,27000
0.001,1300,2000,1600,3500,700,29801
0.002,3000,1001,2000,3600,600,22600
0.003,2300,1000,4000,4600,700,26601
0.004,2200,1000,1400,4100,400,27101
0.005,3100,1200,2400,4700,600,33701
0.006,1900,1500,1400,3900,600,38401
0.007,2200,1200,1400,4100,1100,29701
0.008,2400,1600,1600,3600,900,28300
0.009,3000,1500,5000,4200,400,29301
0.01,3000,1200,2900,3400,500,29400
0.02,2300,1700,3700,3401,400,24600
0.03,3600,1200,2400,3800,400,40301
0.04,4500,1300,3500,3700,300,24200
0.05,5001,1000,1900,3500,400,32200
0.06,2800,1200,1700,3600,500,31700
0.07,4500,1100,3600,3200,500,34801
0.08,5400,1200,2200,4500,400,31501
0.09,4100,1300,2001,4000,400,35700
0.1,4600,900,2200,3800,300,24101
0.2,6100,1100,5300,3200,600,34301
0.3,5500,1000,1900,3500,800,29601
0.4,5900,1200,1900,4600,400,30701
0.5,4500,1300,4200,4001,600,26900
0.6,4500,1600,1900,3400,300,35401
0.7,4700,1400,3500,4000,300,35501
0.8,5800,400,1600,3400,300,40301
0.9,5700,800,8701,3400,400,25700
1,6300,700,8900,3900,500,30401
