 ,DA,SA,LL,TV,VEC,CBT
1e-05,340,300,1200,1780,140,15390,
2e-05,150,130,970,1720,140,12000,
3e-05,190,200,1260,1680,200,12840,
4e-05,80,170,1050,1730,140,11350,
5e-05,100,190,920,1820,160,12770,
6e-05,130,200,1040,1860,140,13340,
7e-05,110,170,660,1750,280,12900,
8e-05,120,170,720,1640,160,14110,
9e-05,160,210,1120,1650,110,11040,
0.0001,130,180,1050,1760,200,13580,
0.0002,250,320,1280,1820,170,13920,
0.0003,240,230,1180,1710,200,12650,
0.0004,300,240,1390,1710,200,13870,
0.0005,220,150,900,1720,150,14150,
0.0006,210,180,1210,1780,150,12600,
0.0007,330,170,760,1680,150,12680,
0.0008,190,120,720,1740,130,14760,
0.0009,210,220,830,1930,160,14230,
0.001,240,280,1090,1670,130,13350,
0.002,240,200,1000,1740,190,12860,
0.003,260,350,940,1910,170,13350,
0.004,310,200,1380,1750,170,13000,
0.005,430,360,1040,1740,230,14820,
0.006,320,540,1000,1860,260,15710,
0.007,350,320,1010,1720,190,11980,
0.008,460,390,1170,1830,140,14430,
0.009,510,370,1020,1770,150,14440,
0.01,470,290,1190,1920,170,15580,
0.02,440,330,1470,1770,150,13220,
0.03,430,410,1030,1610,160,15040,
0.04,460,250,1040,1870,220,14330,
0.05,430,200,1010,1710,190,13610,
0.06,510,210,1570,1670,170,13660,
0.07,570,270,940,1800,180,14320,
0.08,540,300,1680,1960,230,14110,
0.09,530,250,1240,1730,170,14950,
0.1,600,250,1540,1710,130,12140,
0.2,600,220,1240,1770,200,16100,
0.3,1640,330,1080,1760,180,14600,
0.4,520,270,2430,1800,160,13810,
0.5,670,260,1140,1830,220,12970,
0.6,550,340,2800,1670,160,16580,
0.7,600,250,1640,1740,220,14130,
0.8,570,200,1900,1630,140,14550,
0.9,650,350,2250,1810,260,15590,
1,590,280,1960,1730,170,13670,
