 ,DA,SA,LL,TV,VEC,CBT
1e-05,600,600,2000,4100,900,31200
2e-05,900,1000,2500,4300,400,17001
3e-05,200,400,1400,3700,400,27201
4e-05,500,500,4400,4700,700,17900
5e-05,200,900,2700,3600,400,27501
6e-05,400,300,1700,4000,500,32400
7e-05,400,200,1500,3700,300,24801
8e-05,500,200,1400,3600,300,20001
9e-05,600,300,1600,4000,500,28701
0.0001,300,200,1200,3901,300,22600
0.0002,600,1000,1900,4600,500,27101
0.0003,500,700,5100,4500,200,35901
0.0004,500,300,2600,3700,300,32501
0.0005,600,500,4000,4000,800,24500
0.0006,400,1300,1300,4401,700,24200
0.0007,500,500,3900,4700,500,23201
0.0008,500,800,3000,5400,500,23501
0.0009,500,300,1300,4200,300,25401
0.001,300,400,1100,3700,400,22501
0.002,700,1000,2000,3500,400,35101
0.003,800,400,1600,4500,200,39701
0.004,400,400,3300,4100,500,21201
0.005,800,700,2800,4700,900,37500
0.006,700,1100,1400,3600,300,32100
0.007,600,400,2500,3800,200,27501
0.008,1500,400,2700,5301,500,34500
0.009,1100,300,3500,4300,1000,23101
0.01,1500,400,2400,4001,400,34300
0.02,1100,400,4100,6800,400,34901
0.03,1700,800,4500,4000,600,35601
0.04,1500,900,1900,4100,500,36601
0.05,1800,500,3600,4300,600,33301
0.06,1400,500,2400,4400,500,38201
0.07,1100,600,6600,4300,400,23200
0.08,1300,1600,2500,4600,601,39800
0.09,1600,900,4800,6000,700,28101
0.1,2100,800,5600,4700,1200,27201
0.2,2200,400,3200,3100,300,31700
0.3,1400,800,3400,3900,1100,21600
0.4,900,400,1700,3400,500,32101
0.5,1400,600,6600,4000,500,25601
0.6,1400,800,2200,3800,400,28301
0.7,1300,300,7100,3800,400,24501
0.8,1300,500,6000,5100,400,35501
0.9,1100,700,7400,3400,800,29400
1,1700,500,11100,3000,200,30500
