 ,DA,SA,LL,TV,VEC,CBT
1e-05,2030,155173,748093,8817122,61271,92047174,
2e-05,2730,56901,422937,7065900,59591,88766533,
3e-05,2910,59831,418917,7163112,56571,87634184,
4e-05,3320,61741,915386,6748834,57861,92348020,
5e-05,4860,58421,466288,6359957,58251,89300694,
6e-05,4250,61161,530239,6366197,59681,87576972,
7e-05,4360,62151,441688,9165878,62171,90446175,
8e-05,4320,59861,451448,10814959,61841,92927432,
9e-05,4470,59281,413877,8974894,57121,95145182,
0.0001,4640,63121,583110,6761203,59481,90464366,
0.0002,7280,62181,372617,3152347,1261673,91334232,
0.0003,7740,62281,420487,6387547,57561,91559765,
0.0004,8660,61511,381787,8778102,60761,89347164,
0.0005,8760,60471,578260,4865909,56941,88521969,
0.0006,10080,62331,352546,7165291,57761,90448285,
0.0007,11130,64331,391317,7328595,59751,90655548,
0.0008,10280,62421,1240363,9941893,58951,89704781,
0.0009,11470,60461,413317,8583040,2062557,90384664,
0.001,10920,61391,385177,9174372,56501,92528464,
0.002,15330,62031,410857,4765877,58021,97287984,
0.003,18070,60831,791854,6169875,58221,88591416,
0.004,19930,61601,393377,4793558,58491,96405139,
0.005,22550,62871,437838,5165425,2062328,93871102,
0.006,23790,61881,361576,7252413,2123319,97292419,
0.007,27410,60001,420147,7182442,57931,91705542,
0.008,29490,64691,572850,8371824,60111,96683397,
0.009,30290,61811,418487,5168157,1662430,92702352,
0.01,31540,60091,442598,8685599,57351,91584943,
0.02,41510,62091,384387,6152142,58341,95938892,
0.03,53321,61861,404847,3038365,58631,96861089,
0.04,63801,59241,452018,1159701,57941,97634890,
0.05,69221,60571,488359,9549626,58401,96449518,
0.06,68811,58991,475208,6472806,59091,93914678,
0.07,74851,61481,823135,9207427,58911,98303863,
0.08,75741,59561,535899,5716164,57260,98279133,
0.09,75841,59721,446527,4579466,2061467,96592303,
0.1,81551,61141,560610,5852478,58901,99288885,
0.2,78001,61200,542539,6789022,57961,86663970,
0.3,72351,59121,633801,4793648,58371,93508059,
0.4,77681,59571,1550868,5191434,59941,94710550,
0.5,80161,61121,913066,8828022,60971,95885327,
0.6,71051,61021,801064,10897920,60071,96613900,
0.7,79011,62481,910256,7184602,57941,97293431,
0.8,76451,57951,3105077,7954986,58661,89958023,
0.9,74461,60551,1173711,5986350,57931,85652663,
1,69071,61031,1074509,5391630,58021,77124141,
