 ,DA,SA,LL,TV,VEC,CBT
1e-05,3400,312406,925317,18520938,124902,196458884
2e-05,4500,116302,906917,2300942,117402,194955857
3e-05,5000,119802,878716,22338207,103502,173880773
4e-05,6600,127102,892517,22335507,111602,185328681
5e-05,6900,117502,784814,2307342,116702,191323991
6e-05,9301,126802,786414,2308942,118502,191926902
7e-05,8100,124702,955317,22320107,124802,184669570
8e-05,9200,124002,788815,2305342,117503,184149059
9e-05,9700,122703,886716,22338207,125103,197636006
0.0001,7400,121102,887017,22336708,108502,181988520
0.0002,13800,119702,564311,22315407,122402,165239707
0.0003,13100,127002,640512,18334234,114202,202624688
0.0004,18900,126102,824515,2301942,118003,183271635
0.0005,19501,117702,887416,2309442,117802,195056950
0.0006,21000,118603,895416,2303242,119302,198958222
0.0007,26901,129102,922917,2311042,116802,195241054
0.0008,25100,127303,905117,21769497,124602,180726489
0.0009,24000,124603,705513,2300242,20150067,192770309
0.001,25601,122302,899916,22337507,105502,186026186
0.002,27701,126002,659212,22416309,109002,166354433
0.003,40601,126702,674412,2325442,120203,187746924
0.004,42801,122802,902816,22342407,107002,181827711
0.005,46601,134602,853015,2300942,113802,196270774
0.006,48401,122802,736413,26396682,118102,194566348
0.007,52801,109602,908917,2307442,113302,190983180
0.008,54401,119302,623511,18326734,122102,201155766
0.009,61901,123302,853816,2388544,125102,195180259
0.01,67101,105102,944117,18372135,122302,171928536
0.02,90301,126202,742814,20119968,122302,201340773
0.03,104202,125903,623611,2299542,115102,208576104
0.04,125302,122503,646412,2378543,115002,194609747
0.05,146102,130403,1006919,33855617,131503,189545459
0.06,144802,121603,1067120,2359843,115903,191989606
0.07,160203,125202,768914,22479511,114402,186682409
0.08,161003,111002,1148221,22484411,108602,215793140
0.09,153403,121402,706313,2323942,20140668,200541460
0.1,169603,125102,1119521,22324007,122802,196395080
0.2,142003,116702,1072820,22362707,111002,173510161
0.3,141202,122602,878516,18359135,121002,188648037
0.4,165003,121203,1435726,22321604,122302,191378068
0.5,169603,122702,1505027,18960243,126103,207814165
0.6,152103,119702,2242141,22481710,109902,192935824
0.7,166903,129702,2156339,2289041,118503,214938706
0.8,160002,122503,1870435,26025576,119302,204465441
0.9,140403,123202,2794351,2298442,114303,209913737
1,137203,123902,2509445,12049820,117202,213308990
