 ,DA,SA,LL,CBT,TV,VEC
0.0001,422,2187,35561,981,2339,448
0.0002,411,10056,34514,947,3504,595
0.0003,378,1088,34749,769,1903,380
0.0004,188,18558,34648,599,2699,856
0.0005,224,19028,34718,491,2666,1050
0.0006,226,18542,34659,529,2008,1045
0.0007,223,387,34475,717,816,311
0.0008,705,15012,59677,704,4316,2018
0.0009,543,23197,73839,915,4279,2137
0.001,870,2667,59440,1040,4014,1209
0.002,1324,38018,93533,2307,7589,7783
0.003,383,5628,34533,595,2938,505
0.004,413,20440,45812,647,982,2000
0.005,1075,11482,58703,1054,5265,2278
0.006,703,13880,48976,778,4394,1065
0.007,873,16937,57371,1043,4511,1683
0.008,771,33986,58955,872,4259,2010
0.009,887,21688,61558,1112,5193,1327
0.01,984,4400,76115,1416,5397,1118
0.02,610,9600,37953,971,3945,1313
0.03,506,4582,34615,534,3063,442
0.04,788,14536,47862,749,2698,1287
0.05,563,19085,46273,793,2259,1533
0.06,709,16372,34779,632,2797,959
0.07,533,9668,34892,542,3541,810
0.08,676,13323,34921,675,2557,889
0.09,941,3961,47377,1171,4011,819
0.1,1097,6878,51623,750,3602,1199
0.2,909,13074,40077,598,4142,1773
0.3,949,752,34753,752,1269,349
0.4,729,10141,37869,668,3151,1606
0.5,1321,4685,42333,885,3679,1016
0.6,743,5825,37498,731,3482,589
0.7,836,22136,39541,708,1518,1774
0.8,605,21582,39205,767,1805,1131
0.9,1184,6422,62902,1182,5448,1598
1,871,15682,40207,916,2676,1134
