 ,DA,SA,LL,CBT,TV,VEC
0.0001,1922,9812,30101,577,2427,49630,
0.0002,523,10396,27198,479,1602,847,
0.0003,421,11556,32322,458,1707,18142,
0.0004,424,16009,23524,457,1761,565,
0.0005,1362,9190,32569,484,2363,800,
0.0006,1927,5224,29849,530,1594,466,
0.0007,499,8343,28201,490,2310,644,
0.0008,523,8135,25346,488,1706,578,
0.0009,935,4851,29408,552,1917,600,
0.001,692,10798,28591,490,1909,832,
0.002,654,7024,29247,497,2253,626,
0.003,783,12857,137821,867,3318,1878,
0.004,778,10653,28168,444,2317,893,
0.005,1381,13128,27799,447,1923,817,
0.006,670,14464,25752,424,1944,1055,
0.007,903,21768,29162,470,1987,1056,
0.008,682,6545,27123,900,2382,604,
0.009,1408,9088,28252,439,2403,1044,
0.01,2052,11716,34108,488,2690,1226,
0.02,812,11500,25540,461,1930,748,
0.03,585,11122,28780,529,2028,872,
0.04,585,12192,31656,522,1956,891,
0.05,645,9470,33833,573,2422,1160,
0.06,705,9998,30413,565,2314,756,
0.07,648,11203,34220,555,3010,969,
0.08,570,10843,29882,523,2428,1009,
0.09,510,3355,33172,520,2004,744,
0.1,672,18313,32422,534,2031,1171,
0.2,458,13590,47315,530,3424,1168,
0.3,475,5936,31386,542,2355,557,
0.4,501,10506,29914,532,2398,808,
0.5,553,3810,30924,611,2321,704,
0.6,431,14755,31419,396,2818,1022,
0.7,567,10549,32498,523,2433,942,
0.8,638,12488,34756,526,2858,773,
0.9,661,14748,34750,562,3161,1312,
1,446,8252,34757,494,2734,888,
