 ,DA,SA,LL,CBT,TV,VEC
0.0001,3310,4988,45338,1276,3407,129552
0.0002,1357,36265,46529,872,7128,1710
0.0003,480,9381,73399,506,18256,979
0.0004,1222,19134,111394,796,3595,1415
0.0005,4666,13743,34257,413,2673,1317
0.0006,1075,2818,32621,775,3156,776
0.0007,530,18042,30909,661,2928,1432
0.0008,563,3531,30427,648,2364,370
0.0009,1844,27650,74900,801,4118,1770
0.001,1058,7720,52414,1031,4338,939
0.002,1678,20749,31919,715,1971,1555
0.003,1293,14406,32217,571,3261,1754
0.004,1369,41808,46277,1046,4492,1501
0.005,1555,28714,45987,873,2535,2473
0.006,1204,38335,32339,641,2000,1238
0.007,1037,6023,51564,918,3552,864
0.008,1678,50816,34826,751,3013,1693
0.009,1202,718,52848,834,1524,718
0.01,903,9108,33129,897,3189,618
0.02,817,14532,28145,346,2155,778
0.03,2214,16696,42559,554,2856,1509
0.04,830,3643,31081,395,2716,554
0.05,347,26510,29732,489,3059,661
0.06,19831,3831,32804,942,2795,418
0.07,412,31168,30100,440,2870,1042
0.08,299,20552,29157,333,1103,1040
0.09,630,49511,33365,523,3856,1501
0.1,876,7425,30951,388,2494,609
0.2,367,5773,57961,399,3151,609
0.3,357,13743,28163,352,1868,736
0.4,289,23568,28183,457,2415,548
0.5,426,19952,30712,451,1488,897
0.6,413,3075,28952,625,1866,363
0.7,671,17851,33035,867,2751,1116
0.8,383,5983,29762,478,2123,477
0.9,395,5367,29020,393,2455,440
1,391,19594,30456,420,2009,862
