 ,DA,SA,LL,CBT,TV,VEC
0.001,793,223,411,4468,1140,485
0.002,243,243,614,3748,1330,277
0.003,556,225,298,4784,1088,577
0.004,525,221,282,4060,1098,544
0.005,587,211,297,4724,1103,627
0.006,627,245,304,4713,1089,528
0.007,519,216,308,4367,1094,581
0.008,477,218,275,4462,1113,511
0.009,523,214,311,4582,1104,590
0.01,549,236,304,4054,1099,492
0.02,303,239,557,3984,1333,278
0.03,311,215,590,4987,1330,280
0.04,346,233,582,3902,1406,279
0.05,598,230,313,4631,1123,567
0.06,372,222,315,4593,1110,537
0.07,399,230,1473,4289,1430,278
0.08,377,498,566,8423,1454,288
0.09,741,252,334,8775,1149,544
0.1,420,239,598,8175,1446,294
0.2,810,232,324,5060,1147,539
0.3,473,236,331,4334,1104,543
0.4,433,247,315,4164,1105,567
0.5,467,238,319,4643,1417,277
0.6,475,243,343,4506,1402,283
0.7,456,235,333,4231,1423,281
0.8,440,229,355,4212,1108,279
0.9,504,237,353,4783,1108,531
1,419,237,1736,4554,1370,281
