 ,DA,SA,LL,CBT,TV,VEC
0.0001,235,87,207,676,292,61,
0.0002,148,63,198,389,223,52,
0.0003,135,57,195,305,268,47,
0.0004,159,50,157,365,255,36,
0.0005,160,63,165,360,189,45,
0.0006,128,41,138,321,205,39,
0.0007,179,43,152,373,233,45,
0.0008,118,46,89,290,152,32,
0.0009,142,35,129,261,167,37,
0.001,131,47,159,362,158,45,
0.002,247,73,147,286,224,46,
0.003,220,64,126,308,207,39,
0.004,292,70,212,434,274,59,
0.005,290,67,238,319,236,50,
0.006,295,65,170,285,245,45,
0.007,328,68,205,307,270,48,
0.008,304,65,203,336,208,49,
0.009,262,58,149,376,298,43,
0.01,243,66,203,263,260,44,
0.02,324,52,138,248,191,38,
0.03,350,70,198,335,250,51,
0.04,356,56,188,268,240,48,
0.05,341,54,189,261,174,44,
0.06,301,51,227,221,182,36,
0.07,340,68,178,244,234,47,
0.08,308,62,137,256,975,47,
0.09,306,66,142,257,188,35,
0.1,265,61,139,250,203,41,
0.2,336,64,224,295,198,44,
0.3,356,58,172,310,216,45,
0.4,352,72,233,254,179,43,
0.5,353,64,182,243,234,51,
0.6,349,82,293,288,220,49,
0.7,396,83,168,299,179,52,
0.8,298,51,166,253,144,36,
0.9,311,54,207,315,178,42,
1,336,61,292,274,201,39,
