 ,DA,SA,LL,CBT,TV,VEC
0.0001,416,114,412,3392,460,131
0.0002,360,82,445,936,392,104
0.0003,184,82,410,232,402,78
0.0004,225,67,209,781,330,76
0.0005,522,118,296,510,258,73
0.0006,166,57,324,526,208,60
0.0007,478,51,218,736,288,59
0.0008,203,60,113,427,221,50
0.0009,130,71,119,487,295,61
0.001,221,123,306,537,312,65
0.002,408,148,190,664,537,77
0.003,408,156,105,450,416,83
0.004,755,195,294,803,611,124
0.005,668,129,468,623,520,84
0.006,350,70,345,286,546,69
0.007,568,145,464,659,603,122
0.008,439,69,405,603,295,76
0.009,243,119,327,512,606,106
0.01,550,170,558,434,1173,125
0.02,522,84,133,354,338,64
0.03,897,176,314,793,638,125
0.04,437,78,353,265,318,85
0.05,867,104,320,695,400,82
0.06,466,138,753,331,379,76
0.07,467,90,396,388,402,75
0.08,585,83,223,434,277,75
0.09,591,148,290,582,348,75
0.1,553,113,337,470,586,70
0.2,1036,136,320,1015,603,104
0.3,873,78,365,559,358,83
0.4,588,119,255,539,321,69
0.5,857,184,753,805,667,157
0.6,932,192,523,506,862,77
0.7,490,141,346,665,283,96
0.8,534,121,137,403,347,80
0.9,874,112,550,572,450,98
1,576,88,348,380,278,69
