 ,DA,SA,LL,CBT,TV,VEC
0.0001,872,2320,840,14286,2568,701,
0.0002,1177,2196,719,17475,3754,745,
0.0003,720,1403,1219,18269,5758,4120,
0.0004,1068,632,1555,13080,2666,750,
0.0005,772,3517,1184,12002,2932,954,
0.0006,1000,1076,690,15675,5121,704,
0.0007,787,2196,2033,13676,2548,735,
0.0008,1315,936,1656,14661,2344,1064,
0.0009,867,2453,702,16222,2701,1818,
0.001,841,1943,981,14326,3306,719,
0.002,942,655,690,15382,3030,673,
0.003,834,2458,2379,10997,2259,608,
0.004,1200,698,2870,13698,2249,679,
0.005,2069,1426,1167,13089,2845,963,
0.006,1440,717,2852,10217,2396,611,
0.007,5099,872,790,15470,3370,679,
0.008,1227,1420,629,14126,2042,826,
0.009,979,623,1979,12113,2735,1597,
0.01,1083,876,1522,11407,3178,997,
0.02,1842,664,1803,12652,2193,674,
0.03,2059,2039,1953,11388,2005,875,
0.04,1893,1506,1154,11107,1995,882,
0.05,2747,629,1394,10057,3021,540,
0.06,1441,1622,659,13792,2254,540,
0.07,1269,1059,2083,10006,2295,480,
0.08,1577,2919,1824,13525,2110,1409,
0.09,2067,1339,1183,10100,2824,692,
0.1,2494,1676,644,10691,2737,658,
0.2,2615,592,638,13717,2120,622,
0.3,3450,597,1358,11009,2155,540,
0.4,2834,714,1362,13871,2401,601,
0.5,2902,1611,1490,11463,1985,919,
0.6,3250,1273,1850,13252,2515,926,
0.7,2765,1930,853,13184,3355,570,
0.8,2801,1375,1135,13091,2238,1509,
0.9,3785,787,1273,13207,2077,1069,
1,1666,1229,2062,11464,1996,762,
