 ,DA,SA,LL,CBT,TV,VEC
0.0001,1914,2097,2275,31724,4950,1398
0.0002,1726,2023,1533,18757,11082,1271
0.0003,1457,1363,1301,41063,4935,1337
0.0004,1185,954,9556,18662,4583,1582
0.0005,1734,24188,3474,20467,7205,1504
0.0006,1079,1141,1257,26664,4252,1176
0.0007,1419,1127,4565,26217,4193,1447
0.0008,3993,1047,1144,29437,4176,1291
0.0009,1398,4231,1255,27815,4462,3799
0.001,1267,1097,1019,22164,8621,1446
0.002,2078,1359,1424,27022,4135,1420
0.003,2125,19367,1643,33408,6734,1389
0.004,1592,1434,10467,21071,4205,1489
0.005,2733,2163,5828,29000,3926,1241
0.006,5769,1598,1503,23194,4096,1449
0.007,2262,1624,1843,34714,16905,2200
0.008,2058,1360,1020,25707,3255,905
0.009,1208,1159,5428,22239,4223,1354
0.01,2125,1151,1428,24900,4310,1899
0.02,2457,1318,1166,22234,4245,1352
0.03,3169,8017,1500,27172,3971,3836
0.04,5561,1176,1185,16220,3302,886
0.05,2527,1024,1021,15320,9784,914
0.06,2961,6238,1169,24767,5143,901
0.07,2257,6179,1184,20931,3263,946
0.08,3584,1268,7525,28356,4640,1426
0.09,3696,8858,1401,23366,6943,1282
0.1,6435,981,1150,23193,3256,885
0.2,4170,1229,1319,36621,4399,1441
0.3,3702,1665,7082,17434,3770,923
0.4,9663,2256,1997,39159,4639,1506
0.5,3203,6686,1510,21424,3780,3066
0.6,12675,1177,2024,27938,4440,1375
0.7,14064,1368,2177,23132,3832,1090
0.8,3768,1462,2402,31818,5037,1551
0.9,3287,1496,2178,46685,5445,6484
1,3362,1200,2232,31347,4198,1041
