 ,DA,SA,LL,CBT,TV,VEC
0.001,229,208,261,2743,735,271,
0.002,294,166,205,2502,664,296,
0.003,252,125,239,3209,688,257,
0.004,265,162,199,2508,1119,685,
0.005,762,203,315,4135,695,320,
0.006,286,161,224,2525,680,286,
0.007,280,159,204,3008,1176,574,
0.008,290,159,226,3332,1084,267,
0.009,254,260,425,4288,1433,264,
0.01,249,215,292,2444,754,219,
0.02,238,139,615,3425,829,268,
0.03,269,169,657,2837,787,322,
0.04,380,142,202,3328,707,329,
0.05,316,141,240,2947,745,263,
0.06,394,132,202,3390,692,316,
0.07,304,173,388,2875,770,194,
0.08,361,415,283,3192,748,227,
0.09,238,198,311,2482,723,179,
0.1,331,149,222,2434,657,251,
0.2,248,120,171,3436,670,494,
0.3,312,142,179,2619,592,289,
0.4,362,377,499,3214,710,277,
0.5,287,137,1092,2402,687,307,
0.6,278,122,1174,2337,649,221,
0.7,277,120,470,3663,939,246,
0.8,625,132,715,2547,699,197,
0.9,285,133,249,2666,620,239,
1,1287,127,546,2559,1432,683,
