 ,DA,SA,LL,CBT,TV,VEC
0.001,845,325,389,9834,1496,792
0.002,787,278,391,8551,1474,765
0.003,795,280,344,7566,1510,802
0.004,725,263,359,9050,1416,806
0.005,681,279,344,7593,1461,820
0.006,755,293,392,7960,1453,802
0.007,402,591,686,7642,1759,433
0.008,402,637,707,7465,1767,438
0.009,430,639,701,7121,1737,433
0.01,393,615,664,7101,1713,429
0.02,2518,360,412,7191,1460,785
0.03,555,733,792,7765,1825,423
0.04,940,325,370,6203,1350,827
0.05,1140,359,414,6792,1406,875
0.06,699,322,372,14767,1414,879
0.07,946,310,370,7339,1351,801
0.08,889,309,363,7203,1311,803
0.09,506,290,708,6173,1646,399
0.1,536,627,641,5921,1545,405
0.2,766,369,791,5847,1939,389
0.3,705,346,418,6661,1905,453
0.4,558,251,322,4227,1105,281
0.5,441,241,680,4228,1387,280
0.6,564,267,375,4406,9100,446
0.7,556,244,379,3799,1097,586
0.8,981,310,650,6152,1442,425
0.9,603,271,413,6606,1350,958
1,824,327,498,6063,1814,411
