 ,DA,SA,LL,CBT,TV,VEC
0.001,336,692,821,4859,1802,325
0.002,283,580,646,4415,1486,282
0.003,300,280,717,5396,1502,301
0.004,268,585,686,4408,6143,3760
0.005,2077,719,1422,10852,1522,815
0.006,867,301,371,7405,1426,868
0.007,830,318,372,8875,3949,3634
0.008,622,229,317,5551,1187,604
0.009,306,510,607,5151,1447,286
0.01,289,532,666,4057,1487,289
0.02,496,283,3448,13488,1616,1004
0.03,380,248,4826,7445,1322,1193
0.04,721,265,319,9489,1164,599
0.05,438,264,655,8390,1479,298
0.06,465,224,326,4199,1128,579
0.07,448,230,582,4331,1434,279
0.08,368,548,512,5081,1344,276
0.09,387,216,326,5316,1114,500
0.1,704,224,313,4372,1164,537
0.2,464,238,329,8923,1174,3775
0.3,876,261,360,4557,1111,583
0.4,499,240,339,4824,1463,283
0.5,412,242,383,4378,1134,1573
0.6,735,250,410,3960,1772,294
0.7,511,245,395,3947,1165,294
0.8,419,244,697,4752,1448,286
0.9,450,225,391,4260,1175,284
1,1077,254,397,4250,1135,623
