 ,DA,SA,LL,CBT,TV,VEC
0.0001,10818,75270,73678,4331005,368850,90987
0.0002,5714,75728,72871,4988312,390225,94793
0.0003,15775,55102,71611,4214293,326396,67252
0.0004,12757,52571,68320,3465527,289467,67428
0.0005,9497,40118,62446,3197409,280282,67541
0.0006,5613,40484,63203,3559095,484654,143607
0.0007,15232,92228,73653,4334454,314764,91647
0.0008,30726,53462,72614,4976029,396593,99326
0.0009,16934,54210,71806,4314703,360401,92142
0.001,27064,58663,74557,8432332,394462,101886
0.002,30995,75355,63512,3508195,324172,73708
0.003,16448,54986,76706,3307493,291827,67320
0.004,25551,41598,65325,3664250,316117,68846
0.005,17635,82552,71852,3237707,297770,67824
0.006,17207,41078,62139,4371298,343756,92465
0.007,16646,76809,90417,4500895,298539,68149
0.008,30760,53331,76623,3224649,291574,67840
0.009,20587,68358,72246,3521350,334530,99387
0.01,12850,53204,64106,5009799,417952,96006
0.02,27067,55037,79132,4481592,323106,68793
0.03,23681,57401,72382,4185020,381709,99741
0.04,23285,86736,76268,5031883,347858,95533
0.05,25005,57806,74219,4894679,372414,76967
0.06,27024,53276,70531,4769212,349385,97035
0.07,39675,58038,74371,4530423,394654,111363
0.08,28302,84054,75717,5166009,371755,257377
0.09,30439,56805,262916,4279543,309240,82558
0.1,29775,56324,76583,7829292,392770,99022
0.2,24772,43013,67913,3857601,356057,113283
0.3,20876,42156,68521,3491503,331627,70184
0.4,25750,43319,67115,3963056,283510,67738
0.5,20902,40972,68644,3510841,308954,71249
0.6,15482,38922,135895,3114283,255805,74449
0.7,16144,36395,65024,4087417,295963,91837
0.8,25038,51793,81725,5149392,348442,93139
0.9,17437,36875,69558,3028658,247324,61175
1,39933,56260,91453,3880302,249201,62143
