 ,DA,SA,LL,TV,VEC
1e-05,1801,2600,17800,5000,1600
2e-05,1600,2800,6000,5300,1601
3e-05,1600,1500,15701,4500,1400
4e-05,1400,1100,6900,3900,1500
5e-05,1500,2500,6100,4700,1800
6e-05,2000,2000,15400,5700,900
7e-05,1500,3201,3900,5900,1900
8e-05,2200,1900,18900,5200,1400
9e-05,1600,2600,14900,4600,1100
0.0001,1800,2100,7900,6100,1400
0.0002,1700,2000,13700,5100,1500
0.0003,1500,3400,13501,4800,2000
0.0004,1700,2600,12800,5000,1100
0.0005,1700,3500,7801,5500,1100
0.0006,2000,3500,14901,4700,900
0.0007,1800,2200,18701,5100,1800
0.0008,1900,3100,12301,5800,1200
0.0009,2300,2800,13700,5700,1400
0.001,1900,3700,6600,5400,1700
0.002,1900,3400,7000,5400,1400
0.003,2900,2100,6400,5201,1200
0.004,2500,3300,13500,5500,1000
0.005,4100,2100,10801,5500,1200
0.006,3900,2000,11201,5100,1100
0.007,3700,2500,18400,5901,1100
0.008,4201,2400,9600,6900,1000
0.009,2500,3300,10901,5900,1700
0.01,3000,2200,20101,4800,1000
0.02,3700,2600,5800,5100,1300
0.03,3900,2400,14300,4200,1200
0.04,3801,1800,12800,5400,1300
0.05,3200,2700,9200,4800,1100
0.06,2300,2901,12600,4000,1100
0.07,3300,2000,8400,4000,1100
0.08,3600,2400,13501,5600,1200
0.09,3000,2100,14500,4800,1400
0.1,3000,2000,11000,3900,1501
