 ,DA,SA,LL,TV,VEC
1e-05,700,600,8700,4700,901
2e-05,600,500,12501,2400,1400
3e-05,300,500,3000,2300,600
4e-05,900,600,2100,3900,900
5e-05,900,500,14200,3400,800
6e-05,1300,800,12000,2800,900
7e-05,900,700,13200,3000,900
8e-05,800,600,13800,2900,900
9e-05,900,600,5700,2600,1200
0.0001,900,1100,14700,4300,800
0.0002,900,600,6000,2500,900
0.0003,600,400,7401,2300,900
0.0004,900,500,14300,2700,900
0.0005,1100,600,13300,2600,1000
0.0006,1000,500,5300,4900,900
0.0007,1200,1600,16000,2800,900
0.0008,1200,1500,8200,2900,900
0.0009,1200,600,2200,4500,900
0.001,700,500,8400,2800,800
0.002,700,500,16900,2500,1800
0.003,1200,600,6200,3100,800
0.004,700,1300,3600,2400,900
0.005,1300,1200,16700,2800,900
0.006,400,700,12800,2200,1000
0.007,1300,700,13700,3100,900
0.008,1200,1200,15600,2400,900
0.009,900,600,7100,3301,1600
0.01,1100,600,15400,3800,500
0.02,1400,600,5900,3400,600
0.03,900,600,11100,2801,900
0.04,900,600,5500,1900,900
0.05,1000,500,12400,1800,800
0.06,1101,700,8500,2500,900
0.07,1300,700,10301,2400,1000
0.08,500,400,5100,1800,1500
0.09,1300,700,3500,2400,900
0.1,1300,800,7501,2300,900
0.2,900,1000,11900,1800,1200
0.3,1200,600,15800,2900,2200
0.4,1500,700,8000,2100,700
0.5,1500,700,2500,2000,1100
0.6,1700,700,14500,3300,1200
0.7,1000,500,9100,2500,900
0.8,800,500,14900,2100,1400
0.9,1200,700,13300,2600,1000
1,1300,600,11900,2400,800
