 ,DA,SA,LL,TV,VEC
1e-05,1000,4084973,53560450,32301,728212
2e-05,1200,15244871,54618568,118303,2743448
3e-05,800,6716119,54461765,53300,1219022
4e-05,1700,16546193,55260680,91202,3016953
5e-05,1100,4575581,54121960,52801,808515
6e-05,800,16830099,54102559,109502,3009754
7e-05,1500,16209788,52960939,104302,2866351
8e-05,1000,7090726,54616269,38801,1255422
9e-05,900,223304,54468266,47101,37401
0.0001,2000,11009595,55802290,83701,1934035
0.0002,1600,16879699,52707135,88802,2914951
0.0003,1700,17418809,53206044,76601,3118155
0.0004,1500,4064173,52872744,26000,715113
0.0005,1500,16426193,53119048,89802,2926652
0.0006,1700,21216178,53032947,55801,3754767
0.0007,1600,4175474,53174850,59101,828715
0.0008,2900,10463987,53993564,51500,1869934
0.0009,1800,9592671,53421154,87601,1717331
0.001,1800,8879458,52938944,54701,1570328
0.002,3500,4881888,53800161,40901,913716
0.003,2600,17104306,53308753,111702,3091756
0.004,3900,14955067,53383353,100002,2853751
0.005,1800,19617550,53443855,67101,3463062
0.006,2200,21593986,53501657,63701,3795068
0.007,3100,6504517,52561639,54001,1132121
0.008,3500,3878769,53143548,32000,677713
0.009,3500,4009272,54210768,58301,829815
0.01,3400,6836822,53481555,74002,1196521
0.02,4900,17626415,52953944,118402,3283358
0.03,4200,3817368,52264936,59901,672312
0.04,2600,8587454,51764424,49601,1522227
0.05,3701,14867265,52170231,60401,2632747
0.06,4100,14045251,51815425,85302,2488744
0.07,4100,2737335,52082568,31500,470206
0.08,4800,9975824,51748846,55301,1729721
0.09,3200,13983979,51797763,91101,2424231
0.1,3800,15815406,51779975,93501,2850937
0.2,4100,1982135,51750219,37001,336106
0.3,6500,16034185,52491135,140902,2808450
0.4,3400,5108090,52985535,33301,896216
0.5,3700,2141938,57769323,37401,368106
0.6,3600,11396901,53151038,34100,1923334
0.7,4700,6019506,53199837,61101,1056118
0.8,4000,7597635,53264044,54501,1337823
0.9,3100,5640201,52936149,38501,469908
1,4700,15597679,53952564,65601,2769849
