 ,DA,SA,LL,TV,VEC
1e-05,900,300,3000,1300,700
2e-05,800,200,6800,1300,100
3e-05,1000,300,3100,1700,200
4e-05,400,200,13400,1300,200
5e-05,800,200,15000,1700,300
6e-05,700,200,11101,1100,300
7e-05,1200,1600,2100,2000,300
8e-05,200,200,13600,1200,200
9e-05,1300,300,6500,1900,100
0.0001,600,400,7500,3700,200
0.0002,800,200,10900,2500,100
0.0003,1700,800,10301,1400,400
0.0004,1200,400,6900,4800,200
0.0005,400,100,14500,1200,200
0.0006,1100,300,14100,2100,300
0.0007,1500,800,11101,2500,700
0.0008,1000,300,15801,1400,300
0.0009,900,200,18001,2200,100
0.001,1100,500,9600,2200,800
0.002,2700,300,15700,2000,300
0.003,1700,500,7600,1900,800
0.004,3000,300,4500,3900,400
0.005,2400,300,2101,1600,300
0.006,3400,300,7900,1800,100
0.007,3600,800,4701,1800,100
0.008,3101,300,18000,2600,800
0.009,1500,200,16001,2300,100
0.01,2400,200,6400,1400,200
0.02,2500,200,8200,2400,300
0.03,1500,200,7501,1400,200
0.04,2800,200,5900,1700,400
0.05,2000,900,9101,1000,100
0.06,1900,400,14100,800,400
0.07,1700,100,12001,700,300
0.08,2100,400,6400,2200,100
0.09,1800,300,7400,900,200
0.1,2400,300,17100,1000,200
0.2,1400,500,10500,800,100
0.3,2001,300,5000,800,100
0.4,2400,500,9700,800,100
0.5,1400,100,16000,1700,100
0.6,1400,200,3500,1900,100
0.7,2100,200,7600,800,200
0.8,2000,200,5800,800,300
0.9,2201,300,13300,1900,100
1,2801,200,9900,1000,100
