 ,DA,SA,LL,TV,VEC
1e-05,390,270,3520,940,140,
2e-05,350,110,2000,850,90,
3e-05,350,100,3640,1160,120,
4e-05,240,150,6060,850,120,
5e-05,350,110,5950,1100,160,
6e-05,360,90,5750,760,90,
7e-05,420,230,5880,1000,110,
8e-05,680,140,5480,1020,100,
9e-05,400,90,2290,900,70,
0.0001,360,150,3040,1310,100,
0.0002,650,130,5450,970,80,
0.0003,640,180,4590,1150,110,
0.0004,450,140,3270,1190,70,
0.0005,400,160,5480,1000,170,
0.0006,580,150,5440,980,90,
0.0007,810,220,6140,1200,150,
0.0008,600,240,7020,900,160,
0.0009,580,130,6080,1010,90,
0.001,590,130,5020,1100,130,
0.002,1000,120,4800,1130,80,
0.003,850,140,6350,1020,170,
0.004,1100,190,3920,960,170,
0.005,1160,140,3430,950,150,
0.006,1080,150,4460,840,80,
0.007,1120,2310,4700,1030,100,
0.008,1330,150,5120,1220,230,
0.009,1390,150,4230,1050,90,
0.01,1100,130,5230,1180,110,
0.02,1060,120,4590,930,150,
0.03,1190,130,4050,850,110,
0.04,1370,130,2710,980,140,
0.05,1140,180,4330,700,130,
0.06,950,140,5390,480,110,
0.07,1140,180,4730,760,100,
0.08,1340,160,2830,620,100,
0.09,1220,310,4860,650,210,
0.1,1140,120,5720,960,120,
0.2,1430,170,6330,530,90,
0.3,1320,110,3560,520,150,
0.4,1580,140,3770,580,90,
0.5,1100,200,5130,540,80,
0.6,1090,140,4100,780,110,
0.7,1370,240,4860,620,110,
0.8,780,180,4770,450,90,
0.9,1060,210,5480,690,200,
1,1410,110,4340,600,70,
