 ,DA,SA,LL,TV,VEC
1e-05,1800,4900,7501,4200,800
2e-05,1500,3300,8400,5000,1000
3e-05,900,1300,12501,3300,900
4e-05,1700,2701,2800,5100,1700
5e-05,1300,2400,3500,5901,800
6e-05,1400,4500,10800,4600,1200
7e-05,1300,2000,16501,5100,1100
8e-05,1500,3400,9700,6601,1200
9e-05,1300,800,4700,4100,900
0.0001,1500,3700,10500,5000,1300
0.0002,2300,2400,10900,4200,1200
0.0003,1900,2500,15300,4800,900
0.0004,1900,2700,17800,4200,1700
0.0005,1300,1500,11001,3400,1000
0.0006,1300,2700,5200,4500,1600
0.0007,3200,2900,17301,4500,800
0.0008,2900,3600,18001,5400,1100
0.0009,1200,1600,7100,6600,1100
0.001,1400,2900,16801,5400,900
0.002,2200,2800,11500,3900,1100
0.003,2300,4800,13900,4400,2100
0.004,2500,2600,13301,4500,1600
0.005,2400,3000,7301,5400,900
0.006,2701,4200,8500,5300,1400
0.007,2900,4000,4300,4400,1500
0.008,3100,3001,2800,4800,1200
0.009,2600,4100,14501,4200,1400
0.01,3700,2100,10500,5600,1000
0.02,3000,3900,8201,4200,1200
0.03,3000,3400,15100,4800,1100
0.04,2600,2100,16800,3700,2400
0.05,2500,3000,20100,4000,1000
0.06,4100,2300,13600,4300,2000
0.07,2000,2401,8900,3300,900
0.08,2700,2400,11501,4600,800
0.09,2600,4700,16300,5101,1500
0.1,2900,3400,16600,4200,1100
0.2,4500,2700,3300,5200,1000
0.3,3500,3000,4800,4600,1200
0.4,4200,1500,9301,4000,1800
