 ,DA,SA,LL,TV,VEC
1e-05,13300,5922011,9450578,23511041,6058714
2e-05,7200,4333982,9692682,22538023,6052014
3e-05,5500,4136477,9523579,22489223,6043613
4e-05,5600,4149278,9913186,22517223,6129815
5e-05,6500,4280580,9611481,22550023,6102915
6e-05,6900,4314281,9483679,22516023,6044113
7e-05,5901,4266180,9508778,22513023,6007413
8e-05,6500,4232780,11705020,25008269,6057113
9e-05,6201,4233879,9454377,22558024,6009013
0.0001,7901,4273280,9510278,22519723,6041214
0.0002,6000,4265981,9560179,22530424,6027313
0.0003,6600,4257780,9567280,22507822,6042213
0.0004,9300,4261980,9612680,22479722,6043813
0.0005,10100,4256280,9635081,22528722,6049013
0.0006,7800,4263380,9467577,22545723,6024013
0.0007,9100,4241580,9724482,22550823,6067614
0.0008,8000,4321181,9584880,22536022,6010513
0.0009,8700,4264780,9478877,22532123,6102914
0.001,11201,4291080,9782583,22580224,6052713
0.002,10400,4269580,9702782,22616924,6053514
0.003,11100,4268681,9753983,22570424,6082414
0.004,13100,4268780,9896186,22614825,6039213
0.005,12101,4272980,9647681,22638525,6039113
0.006,17800,4272180,9458078,22564023,6043814
0.007,12100,4253780,9553879,22672526,6051014
0.008,12600,4230980,8927068,22639825,6043513
0.009,16801,4208179,9202972,22705526,6090615
0.01,19801,4224579,9148171,22676926,6069913
0.02,17900,4347782,8992669,22636325,6081114
0.03,25401,4296680,9174972,22668225,6066514
0.04,56701,4339582,9193072,22650226,6085714
0.05,61801,4250380,9042169,22609023,6111015
0.06,79401,4191979,9015670,22655825,6093814
0.07,83801,4257066,8922939,22601452,6063894
0.08,94602,4253580,9225174,22613927,6162416
0.09,101402,4261180,9180072,22620224,6079414
0.1,111602,4220280,9005270,22681127,6048014
0.2,112902,4215779,8946569,22685227,6059514
0.3,114402,4253080,9070271,22763827,6218217
0.4,141003,4257080,9150672,22658326,6037913
0.5,137903,4258880,9225975,22831233,6080715
0.6,145302,4226059,9084125,22691114,6065884
0.7,134302,4306381,9443578,22721728,6127616
0.8,123502,4252381,9442679,22726832,6125616
0.9,129903,4242980,9203575,22626130,6072716
1,125502,4258681,9213076,22783635,6100416
