 ,DA,SA,LL,TV,VEC
1e-05,4280,2810889,4896576,11918369,3056023,
2e-05,3220,2134667,4874455,11258458,3035333,
3e-05,2890,2105307,4844945,11260448,3037013,
4e-05,3220,2137287,4900906,11249577,3044613,
5e-05,2930,2144857,4841675,11263018,3033993,
6e-05,3270,2132817,4835315,11268518,3034033,
7e-05,3400,2100126,4820084,11274518,3036863,
8e-05,3500,2130267,5079909,11508822,3039493,
9e-05,3600,2131647,4849675,11292078,3037253,
0.0001,3440,2105127,4853185,11274778,3039393,
0.0002,3770,2148137,4874485,11275818,3034453,
0.0003,3810,2224765,4858269,11266100,3039182,
0.0004,3990,2130293,4871099,11260350,3034202,
0.0005,4420,2132473,4809517,11328401,3037032,
0.0006,4840,2134293,4832628,11273100,3025751,
0.0007,5420,2135573,4821598,11289940,3035242,
0.0008,4580,2147077,4792114,11278557,3031953,
0.0009,5360,2139287,4802814,11288808,3042293,
0.001,5360,2142717,4868615,11420910,3037923,
0.002,5600,2127002,4811646,11284505,3024063,
0.003,5640,2137599,4776938,11277187,3033585,
0.004,6890,2135059,4757608,11282620,3030666,
0.005,6420,2463706,4822730,11323921,3043936,
0.006,7480,2137060,4804070,11316221,3038407,
0.007,6560,2125369,4752838,11327381,3029956,
0.008,6870,2146780,4603675,11336851,3032476,
0.009,7580,2138569,4642006,11341071,3046516,
0.01,9460,2133859,4672117,11340711,3036156,
0.02,9650,2143260,4484793,12227828,3121878,
0.03,12660,2154097,4510829,11331538,3042563,
0.04,22150,2140725,4519424,11319198,3038960,
0.05,35560,2128499,4450491,11293545,3027558,
0.06,42610,2122747,4467258,11302458,3036023,
0.07,47100,2134558,4508900,11308012,3036224,
0.08,49430,2130219,4508003,11331500,3046436,
0.09,50690,2124986,4565049,11451069,3027802,
0.1,55721,2129509,4509553,11330860,3034736,
0.2,59571,2123029,4521864,11336841,3048246,
0.3,71501,2129232,4531930,11333996,3050640,
0.4,68390,2138389,4570061,12311359,3038287,
0.5,68601,2128999,4602205,11335321,3055966,
0.6,65121,2136057,4673392,11340408,3056003,
0.7,74731,2125179,4657516,11314279,3049576,
0.8,74411,2112479,4664236,11315561,3027746,
0.9,70831,2136727,4737943,11691036,3060693,
1,70771,2128905,4683457,11334097,3048770,
