 ,DA,SA,LL,TV,VEC
1e-05,1350,2990445,54348037,40000,2880183,
2e-05,1090,2439454,54605182,72741,2311852,
3e-05,1180,1605139,54460509,56971,1530227,
4e-05,1370,1786672,54584072,58711,1692310,
5e-05,1370,2216640,54317387,71351,2092388,
6e-05,1300,2135759,54274416,65461,2061067,
7e-05,1410,2376533,54400019,70491,2283811,
8e-05,1110,2380123,54639623,72001,2277501,
9e-05,1430,1810273,54707244,68571,1696580,
0.0001,1430,2103718,54674274,69521,2029956,
0.0002,1400,1786062,54310677,67991,1735752,
0.0003,1530,1706861,54167242,69221,1664790,
0.0004,1420,2129389,53795896,59041,2031227,
0.0005,1800,2695929,58276369,70851,2441434,
0.0006,1870,2690789,55342264,83331,2625478,
0.0007,1760,1906705,53808086,59741,1888434,
0.0008,2030,2228901,54170334,71811,2191770,
0.0009,2070,1581259,54553961,60671,1495637,
0.001,2400,2430575,53844408,88961,2332473,
0.002,2930,2224889,54902068,68881,2208799,
0.003,2920,2359887,54259489,72601,2532850,
0.004,3200,1894334,53857750,72401,1871414,
0.005,3500,1582958,53684673,57850,1558098,
0.006,3350,1814299,54207322,57121,1793619,
0.007,3570,2198767,53645084,62611,2177277,
0.008,3040,1500438,53539679,63300,1451877,
0.009,3390,2099485,53561678,58250,2024534,
0.01,3950,2063318,53523370,64490,2021342,
0.02,3040,1393393,54083395,54290,1466404,
0.03,2830,2354719,53889151,62951,2290918,
0.04,3420,1633873,52893706,67691,1610532,
0.05,3400,2828381,52413291,58501,2813451,
0.06,3690,1957633,52356114,61220,1932632,
0.07,3420,1970913,57965729,47290,2004624,
0.08,4210,1376885,52208171,41300,1331814,
0.09,3530,1964503,52275373,53091,1920202,
0.1,4600,2002256,52334183,54400,2007537,
0.2,4240,2755676,52636037,55541,2727266,
0.3,4120,2354112,52838324,44820,2305081,
0.4,4270,2067886,52871826,59991,2061595,
0.5,4070,1729377,53063932,52590,1765768,
0.6,3990,2052857,53543660,47890,2045047,
0.7,4350,2192928,53871215,48520,2174248,
0.8,4270,2254992,54437181,46071,2226452,
0.9,4660,1604408,54348494,49220,1604748,
1,3990,2219093,54300943,47520,2216473,
