 ,DA,SA,LL,TV,VEC
1e-05,4200,21281195,54818017,48901,18283339
2e-05,3200,3801870,53071085,12800,3785771
3e-05,2600,774414,53771598,39001,742114
4e-05,4700,1491128,53532593,44301,1502228
5e-05,5500,1078620,53105886,51601,1018819
6e-05,3100,217604,53182587,59501,213304
7e-05,3500,3862272,53700297,57301,3880472
8e-05,3700,1736333,53069785,61301,1697931
9e-05,5600,3872972,53134386,44101,3840271
0.0001,4300,1488428,53406291,41700,1472028
0.0002,3500,1724032,53750297,58701,1707232
0.0003,3200,3888572,53210481,60201,3608466
0.0004,4800,2176240,53473886,49000,2162740
0.0005,4100,3033256,52441266,60101,2989155
0.0006,4200,1725432,55436621,75402,1729432
0.0007,3800,2720751,53362183,70701,2667550
0.0008,3600,807315,53748190,39301,825415
0.0009,7200,1173822,54487904,51501,1128821
0.001,5900,1885835,52911775,83201,1875635
0.002,6300,1004318,52568169,38301,983918
0.003,5800,4183677,52506668,70801,3837071
0.004,6100,1364325,52609773,43301,1301424
0.005,6900,787614,52365566,52001,779014
0.006,7200,3871971,52775473,39601,3870272
0.007,9200,317506,52566969,34101,295305
0.008,7000,558411,51862058,47501,546810
0.009,5200,2895553,52063258,38401,2889353
0.01,7501,2480445,51813854,42501,2441345
0.02,6700,1822933,51381146,70801,1802033
0.03,6300,1479427,51535750,33900,1456027
0.04,7200,2807936,51470966,22500,2798836
0.05,4700,1227917,51452210,47701,1196816
0.06,5100,6600,51519451,7800,6800
0.07,7000,868516,51775149,20701,871516
0.08,4600,3085957,51357447,88701,3069957
0.09,6000,3625566,51909957,82602,3574765
0.1,6700,3019655,51811052,63302,2956054
0.2,5300,3217359,51794355,77702,3162258
0.3,6700,1992838,52034073,68901,1993837
0.4,6101,2732951,52341377,85201,2719551
0.5,5300,2793352,52017069,87902,2789752
0.6,6800,599011,52260286,54101,566511
0.7,3800,2256029,52743785,74901,2275530
0.8,4100,1532628,52769380,52901,1529129
0.9,3200,797015,52956673,43500,768414
1,2700,1794833,53256075,49101,1740532
