 ,DA,SA,LL,TV,VEC
1e-05,5730,2358304,9407965,23504447,1139901,
2e-05,5060,1267423,9390724,23501118,1151941,
3e-05,5320,1199492,9378625,22526769,1124371,
4e-05,6480,1256773,9519457,22566000,1147781,
5e-05,6010,1244793,9379294,22538189,1143831,
6e-05,5930,1259053,9372694,22556620,1156461,
7e-05,6080,1279433,9349054,22566290,1152211,
8e-05,5900,1275703,9700630,22556240,1147161,
9e-05,6100,1265953,9317313,23010958,1150181,
0.0001,5980,1216902,9312363,23015788,1148651,
0.0002,6720,1290394,9280122,22614631,1144211,
0.0003,6590,1306534,9269592,23010978,1151831,
0.0004,6760,1297074,9233282,22536299,1113760,
0.0005,7590,1258873,9279492,22549700,1166491,
0.0006,8560,1281443,9397405,22622911,1154801,
0.0007,8900,1274578,9147396,22583062,1127935,
0.0008,10200,1255472,9190726,22545418,1146471,
0.0009,9960,1260362,9497872,22563938,1145410,
0.001,9350,1283203,9011103,22531788,1135490,
0.002,12490,1282793,8971492,22930134,1156150,
0.003,11760,1287583,8963002,22581818,1174511,
0.004,13350,1280073,8936933,22626854,1154851,
0.005,13320,1264664,8962153,22579826,1145282,
0.006,12970,1288523,8976173,22582841,1123640,
0.007,14460,1257921,8932422,22853890,1148759,
0.008,14770,1250301,9018626,22618003,1182660,
0.009,15320,1276772,8861003,22624721,1147449,
0.01,17030,1303623,8936821,25166636,1167491,
0.02,19120,1269703,9509468,22629464,1167042,
0.03,26130,1288733,9003045,22579064,1157061,
0.04,48130,1282744,8949966,22594361,1165511,
0.05,71741,1293513,8956051,22628558,1150900,
0.06,84301,1279263,9147166,23095021,1151571,
0.07,99451,1278763,9038148,22598660,1163901,
0.08,103412,1260823,8962328,22641416,1152781,
0.09,108611,1291533,9027169,22836584,1162890,
0.1,121092,1281963,8991067,22629411,1137331,
0.2,112352,1279924,9498813,23055600,1140271,
0.3,151182,1293132,8985213,22721538,1144079,
0.4,127383,1282872,9558605,22770176,1115747,
0.5,169792,1470056,10257284,23516841,1136640,
0.6,148202,1270013,9139229,22586109,1130650,
0.7,152172,1241553,9168803,22623458,1131101,
0.8,165513,1278153,9217600,22619518,1118010,
0.9,134242,1282834,9222413,22601424,1134271,
1,142032,1296974,9253623,22581583,1159461,
