 ,DA,SA,LL,TV,VEC
1e-05,13001,2933439,9406925,23507014,1167516
2e-05,5500,1037414,9350925,22460500,1085314
3e-05,5300,987614,8908219,22584901,1063415
4e-05,6701,973513,8762517,22380799,1069714
5e-05,4700,1296417,9342325,22450700,1064514
6e-05,5300,1002913,8876219,22425499,1077315
7e-05,6400,1298017,9185923,22467000,1086514
8e-05,6900,1073715,9638028,22596701,1098515
9e-05,5100,1340818,9195323,22511001,1064214
0.0001,6000,1071114,9248724,22416299,1092315
0.0002,5900,1316518,9239723,22520601,1080815
0.0003,6401,1381818,8777817,22469900,1101815
0.0004,7300,1108415,9106022,22492800,1078815
0.0005,6300,1233023,8816766,22457223,1110621
0.0006,7700,1303625,8891067,22478324,1075220
0.0007,8000,1200223,9124772,22495324,1165022
0.0008,9500,1318426,9054976,22467937,1036420
0.0009,9200,1250224,8861172,22468437,1078121
0.001,8800,1244424,8861772,22508238,1077821
0.002,10700,1320228,8994789,22549373,1143524
0.003,10500,1205022,8647159,22514812,1074620
0.004,12901,1294125,9005573,22619425,1131521
0.005,11501,1336825,8449659,22545623,1096421
0.006,13800,1298725,8793570,22541836,1066421
0.007,12900,1292724,8606461,22584521,1095621
0.008,11701,1204423,8611465,22600834,1066921
0.009,13200,1325125,8705864,22533824,1062020
0.01,16100,1172223,9001070,22667129,1103521
0.02,19700,1320325,8896767,22611025,1069621
0.03,23400,1349427,8796270,22644839,1007919
0.04,51301,1063219,8778165,22688924,1115421
0.05,71302,1316124,8602260,22610322,1100321
0.06,79101,1317624,8762859,22639210,1138720
0.07,85902,1288424,8765965,22659428,1114721
0.08,97400,1299204,8616922,22544758,1069103
0.09,98802,1323425,8642962,22591723,1087820
0.1,103602,1316125,9259776,22615429,1077921
0.2,103802,1275425,8893773,22632841,1223824
0.3,96702,1254824,8727365,22679230,1072221
0.4,167803,1272424,9011870,22620726,1075121
0.5,130402,1292826,8981578,22530045,1037120
0.6,171103,1265328,8827692,22659590,1078023
0.7,128503,1341025,8916568,22575926,1083620
0.8,143803,1113321,9018071,22523528,1061120
0.9,129602,1207623,9367376,22563423,1173522
1,115802,1148822,9080673,22568128,1052420
