 ,DA,SA,LL,TV,VEC
1e-05,700,5601639,30061986,28910,844232,
2e-05,640,6639854,30339650,36420,990394,
3e-05,520,5790901,30361740,30630,879902,
4e-05,600,6679974,31116241,49200,1081265,
5e-05,790,8107105,30293239,42700,1220027,
6e-05,680,6885507,30126717,35740,1045184,
7e-05,550,6360260,30278699,27650,936693,
8e-05,720,8432084,30587104,32750,1213817,
9e-05,650,6304050,30087015,41750,937457,
0.0001,660,7287807,30614155,36470,1113485,
0.0002,810,7386015,31192219,37250,1504549,
0.0003,760,6462041,30723375,27880,971593,
0.0004,1010,8658862,30003635,37640,1381829,
0.0005,770,6594684,30205378,34460,1003024,
0.0006,820,5454127,30728065,29000,836461,
0.0007,1220,6349383,30254695,28040,973834,
0.0008,1170,7366092,30068202,69201,1114397,
0.0009,1210,6855768,29939040,32820,1033814,
0.001,1090,7609182,32285423,36790,1104576,
0.002,1570,9789943,30075902,40840,1542240,
0.003,1450,5227292,29798293,23190,780960,
0.004,1460,2705298,29920222,29230,403745,
0.005,1650,6517561,29919069,37880,997991,
0.006,1500,8149232,29959396,32470,1239557,
0.007,1770,10123582,30211456,40770,1561820,
0.008,1610,8347856,29882098,32520,1263617,
0.009,1450,8799454,30900542,40540,1388541,
0.01,1750,6662688,33929893,24950,1014555,
0.02,1700,5352804,29984980,27650,807551,
0.03,1770,7286003,29887796,21090,1092505,
0.04,1440,8345148,29728903,24580,1264208,
0.05,1710,5892933,29132094,29450,882992,
0.06,1990,6239259,29317186,21070,937943,
0.07,1800,5209323,29368926,19390,782021,
0.08,1560,4712356,29376074,24140,701719,
0.09,1840,6922406,29708184,25600,1047741,
0.1,1700,6052850,29483516,25590,904666,
0.2,2020,5930493,29568407,28170,878962,
