 ,DA,SA,LL,TV,VEC
1e-05,7150,1311377,3197962,13140,362504,
2e-05,2550,1221135,3153572,13100,338784,
3e-05,1370,842756,3126372,14860,106930,
4e-05,1510,577294,3240833,12520,66330,
5e-05,1440,887481,3148251,12400,123901,
6e-05,1310,563436,3266943,11230,74360,
7e-05,2500,782770,3197932,15050,93921,
8e-05,1910,723777,3191573,14939,94131,
9e-05,1470,569586,3196242,13410,72740,
0.0001,1530,798750,3122191,15020,101241,
0.0002,1670,381334,3442226,12130,51590,
0.0003,2040,774946,3216683,14130,85380,
0.0004,1670,1032050,3140382,15900,111221,
0.0005,1930,170581,3648022,10880,22790,
0.0006,1860,561692,3277693,13140,56950,
0.0007,2360,1393444,3527278,10190,167271,
0.0008,2440,1006792,3159963,8730,128381,
0.0009,2120,1100201,3086932,14750,115751,
0.001,2360,927539,3269014,12240,123351,
0.002,2170,516287,3194165,10530,60890,
0.003,2210,728980,3167235,8940,67800,
0.004,2340,571488,3251776,11950,67571,
0.005,2140,1227287,3169315,12360,134661,
0.006,2490,1078030,3180230,8860,126751,
0.007,2250,217183,3270661,9650,25100,
0.008,2170,777247,3151531,13089,95371,
0.009,2200,988854,3466209,14870,120291,
0.01,2040,369605,3214265,12060,43070,
0.02,2050,587917,3112723,13780,56099,
0.03,2400,1474650,3323106,13140,106511,
0.04,1830,839882,3091084,12970,99351,
0.05,2530,1061714,3118033,11140,128241,
0.06,1880,675830,3197347,10180,79671,
0.07,2050,1108216,3201006,10980,124801,
0.08,2510,566598,3298066,14980,61100,
0.09,2120,935323,3192034,10650,100941,
0.1,2370,833052,3220666,10430,100681,
0.2,1390,609498,3416958,13660,68121,
0.3,1620,548687,3442048,11670,57090,
0.4,1530,907759,3583638,12830,110271,
0.5,1670,1295568,3651732,15370,156712,
0.6,1520,1086375,3656512,13520,131911,
0.7,1780,731600,3928617,13590,74421,
0.8,1890,682719,4252467,12190,92751,
0.9,1690,440106,4251490,10720,47300,
1,1520,957047,4280373,13080,115231,
