 ,DA,SA,LL,TV,VEC
1e-05,1500,2200,4600,5300,1000
2e-05,1800,1400,5400,5200,1200
3e-05,1400,2200,2800,5500,1000
4e-05,1500,1600,3500,4600,1200
5e-05,1200,1500,5700,3600,2000
6e-05,1000,2000,1800,4300,2200
7e-05,1000,13901,6500,4300,1400
8e-05,1300,2000,6600,4200,1700
9e-05,1200,1700,6001,4200,1300
0.0001,1600,1800,6100,3600,1000
0.0002,1300,1400,4600,4000,1400
0.0003,1500,2300,5200,4900,1100
0.0004,1600,1701,5600,4900,1100
0.0005,1500,1700,5700,4200,1300
0.0006,1600,2200,2100,4400,1300
0.0007,1500,1400,4300,3600,1200
0.0008,1900,1700,4800,4500,1100
0.0009,2100,1800,4300,4301,1400
0.001,6500,1600,5300,4400,1600
0.002,2200,1500,6700,4200,1600
0.003,3400,1600,5200,5300,1100
0.004,2200,2100,6800,4301,900
0.005,2000,2600,2600,4800,1000
0.006,2200,3200,5000,4000,1100
0.007,2800,1800,5801,4500,1400
0.008,3800,1500,3000,4200,1100
0.009,3000,1700,5200,5800,900
0.01,2000,1600,6000,4800,1000
0.02,2500,1400,2800,3901,1000
0.03,2000,1800,5800,3700,1100
0.04,2400,1700,3800,4000,1500
0.05,2900,1000,4500,4200,1900
0.06,2500,2500,2500,4200,1000
0.07,3500,2400,7800,6000,1200
0.08,3300,1500,3700,24001,1100
0.09,4600,1500,2700,4300,1100
0.1,3400,1100,5400,3700,1100
