 ,DA,SA,LL,TV,VEC
1e-05,840,1830,2499,2590,580,
2e-05,770,1200,3710,2229,840,
3e-05,710,930,3460,2470,580,
4e-05,740,810,3810,2180,570,
5e-05,890,930,4470,2250,670,
6e-05,750,960,3450,2300,760,
7e-05,830,2480,3100,2380,690,
8e-05,859,1170,4390,2160,650,
9e-05,890,1210,3330,2340,630,
0.0001,770,940,2880,2159,610,
0.0002,950,1100,2740,2470,640,
0.0003,900,1320,3130,2519,650,
0.0004,790,1100,5250,2470,630,
0.0005,890,940,2700,2630,590,
0.0006,1150,1350,4450,2560,610,
0.0007,1030,1170,4000,2250,680,
0.0008,1000,1110,3960,2410,720,
0.0009,950,980,3150,2170,620,
0.001,1560,940,4260,2290,800,
0.002,1410,1070,2910,2270,690,
0.003,1420,910,3700,2340,550,
0.004,1230,1020,3470,2350,720,
0.005,1260,1090,4530,2320,610,
0.006,1290,1240,4850,2570,590,
0.007,1380,970,3770,2200,730,
0.008,1370,820,3650,2280,600,
0.009,1480,970,2360,2350,590,
0.01,1330,860,3760,2440,560,
0.02,1600,980,2860,2150,610,
0.03,1190,1150,2890,2110,790,
0.04,1390,1090,3700,2120,720,
0.05,1420,950,3370,2050,690,
0.06,1470,1020,3150,2110,650,
0.07,1740,1000,2590,2310,590,
0.08,1520,950,2850,4250,680,
0.09,1990,1000,2950,2180,630,
0.1,1640,1140,4960,2060,630,
0.2,1390,1030,2780,1820,590,
