 ,DA,SA,LL,TV,VEC
1e-05,4401,6239790,9233133,23860646,6691397
2e-05,5800,4441665,10180547,22904132,6851999
3e-05,6300,4443865,9519538,25402568,6116088
4e-05,7700,4448665,9078132,22917732,6048087
5e-05,5300,4498365,8957530,22768430,6046788
6e-05,5500,4834070,9179933,22793330,6046188
7e-05,5800,5364978,8813528,23938547,6034487
8e-05,6400,4161660,9015131,22960333,6614596
9e-05,6400,4466365,9025631,23002334,6068887
0.0001,7800,4497166,8946029,22835031,6024588
0.0002,6700,4493465,8898129,22837431,6038387
0.0003,8000,4262862,9996845,26147679,6053888
0.0004,10400,4438465,8849628,23780445,6078688
0.0005,9300,4411464,9324336,27197194,6067688
0.0006,10101,4751468,8248019,23367339,6046587
0.0007,11401,5527880,8724626,23082435,6062987
0.0008,10400,4521965,8578125,22917232,6016487
0.0009,13900,4548666,8821628,24823659,6030988
0.001,12401,4372163,8433722,22888931,6115889
0.002,19401,4486765,9522338,22890331,6113889
0.003,25001,4572566,9196133,22972833,6073488
0.004,22300,4638368,9547439,22945733,6072388
0.005,27701,4578366,9113032,23180937,6055188
0.006,32301,4591866,9110132,22957933,7068103
0.007,35800,4675968,9304335,23024835,6053288
0.008,37001,4144360,19393981,35583517,7960116
0.009,37101,4638967,9074331,23264738,6041888
0.01,37601,4639767,9020631,22953033,6073788
0.02,52101,4305862,9317436,23168437,6083388
0.03,68301,4645768,9361635,22972734,6113889
0.04,77701,4205761,9235535,23678144,6054988
0.05,96801,4488665,9313435,22881433,6032087
0.06,112101,4552867,9721341,23064235,6083489
0.07,122702,4482165,9831243,23216337,6088688
0.08,119902,4560566,9518738,23004734,6061088
0.09,94901,4466365,9526739,22861232,6033387
0.1,91301,4481565,9321335,22876332,6034088
0.2,149702,4503366,10004245,22893533,6063688
0.3,134202,4614067,8992031,22838332,6014087
0.4,151002,4493766,10176647,22815731,6010987
0.5,146502,4674566,11225560,22994328,6096787
0.6,159402,4606267,11215662,22824731,6130488
0.7,149802,4671568,12681683,22918332,6076288
0.8,141102,4444564,12510481,22932732,6054088
0.9,152702,4549966,12799584,22866030,6922199
1,138802,4653067,13412794,22935632,6107189
