 ,DA,SA,LL,TV,VEC
1e-05,1200,10094080,53744360,55801,1828133
2e-05,1001,19374446,54503073,27800,3465162
3e-05,1100,5068490,55587993,29101,886415
4e-05,1400,21280380,53623057,79002,3757967
5e-05,2201,21303381,53697060,56401,4463880
6e-05,1300,2835951,53237852,27701,426007
7e-05,1900,14437859,54070767,96402,2518445
8e-05,1300,11978815,53742461,88102,2114638
9e-05,1300,13222837,54471574,114402,2320142
0.0001,1200,11901213,54532276,100201,2125038
0.0002,1200,5660501,53217052,32601,985117
0.0003,1300,4355378,53434756,46101,755913
0.0004,2000,11024597,53533858,81902,1984435
0.0005,1500,945117,53349155,28200,160703
0.0006,2700,13984350,53323254,93102,2469244
0.0007,2400,12657526,53350353,84902,2245940
0.0008,2101,9871376,53368253,76701,1720631
0.0009,2600,5193093,53616658,52701,896816
0.001,2300,21954392,53177450,60002,3960570
0.002,3600,4656183,52385336,24601,806614
0.003,3700,11953913,54529974,104402,2299841
0.004,3900,12244619,54182268,84602,2106537
0.005,2501,10372585,53365353,67701,1852133
0.006,2700,17591714,53380953,83501,3092955
0.007,1900,20984575,52969846,62101,3737767
0.008,3600,18790836,53877563,84801,3361960
0.009,2500,14492959,53698359,103002,2583046
0.01,2800,16041086,53731560,76901,2824451
0.02,2200,5222594,55276787,62701,897416
0.03,4700,11697753,51980480,53801,1755323
0.04,2100,19797251,51679357,59601,3474544
0.05,3600,2500132,51988466,21401,423705
0.06,3500,5546399,51891721,34600,964417
0.07,4100,12000213,53639452,76901,2212039
0.08,3900,16761098,52176629,59901,2956853
0.09,3200,3863968,51636214,17600,663712
0.1,3800,16054385,51582516,89001,2832851
0.2,2700,20574965,52080824,60001,3851568
0.3,3200,11733211,52215936,81102,2074137
0.4,2600,17235208,52157431,96002,3084955
0.5,4200,18679631,52710635,80301,3270358
0.6,3300,11924514,53255956,82002,2099038
0.7,3600,15239594,54795500,65401,2779035
0.8,4000,6181575,53579754,52501,1097513
0.9,4000,7286093,54045290,30600,1270417
1,4500,19252047,52755077,81501,3404644
